dataset,split,norm,eps,nb_correct_nat,nb_correct_adv,nb_examples,accuracy_nat,accuracy_adv
caltech101,clean,—,—,4,—,1000,0.004,—
caltech101,linf,Linf,0.01568627450980392,4,0,1000,0.004,0.0
caltech101,l2,L2,2.0,4,0,1000,0.004,0.0
caltech101,l1,L1,75.0,4,1,1000,0.004,0.001
