backbone,dataset,loss_function,restart_from
mobilenetv3_large_100.ra_in1k,fgvc-aircraft-2013b,CLASSIC_AT,job5_test_l2.sh
edgenext_small.usi_in1k,fgvc-aircraft-2013b,CLASSIC_AT,job5_test_l2.sh
coat_tiny.in1k,fgvc-aircraft-2013b,CLASSIC_AT,job4_test_l1.sh
regnetx_004.pycls_in1k,flowers-102,CLASSIC_AT,job5_test_l2.sh
efficientnet-b0,flowers-102,CLASSIC_AT,job5_test_l2.sh
deit_tiny_patch16_224.fb_in1k,flowers-102,CLASSIC_AT,job5_test_l2.sh
mobilevit-small,flowers-102,CLASSIC_AT,job5_test_l2.sh
mobilenetv3_large_100.ra_in1k,flowers-102,CLASSIC_AT,job5_test_l2.sh
edgenext_small.usi_in1k,flowers-102,CLASSIC_AT,job5_test_l2.sh
coat_tiny.in1k,flowers-102,CLASSIC_AT,job5_test_l2.sh
regnetx_004.pycls_in1k,oxford-iiit-pet,CLASSIC_AT,job5_test_l2.sh
efficientnet-b0,oxford-iiit-pet,CLASSIC_AT,job5_test_l2.sh
deit_tiny_patch16_224.fb_in1k,oxford-iiit-pet,CLASSIC_AT,job5_test_l2.sh
mobilevit-small,oxford-iiit-pet,CLASSIC_AT,job5_test_l2.sh
mobilenetv3_large_100.ra_in1k,oxford-iiit-pet,CLASSIC_AT,job5_test_l2.sh
edgenext_small.usi_in1k,oxford-iiit-pet,CLASSIC_AT,job5_test_l2.sh
coat_tiny.in1k,oxford-iiit-pet,CLASSIC_AT,job5_test_l2.sh
