dataset,,,,,,,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset
metric,,,,,,,borda,nan_geom_cnt,nan_sum_cnt,rank_borda,rank_geom,rank_sum,score_geom,score_sum,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data
backbone,backbone_name,loss_function,pre_training_strategy,model_type,model_size,ft_strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swin_base_patch4_window7_224.ms_in22k_ft_in1k,"swin_b,sup,ink22k-in1k",CLASSIC_AT,supervised,fully attention,large,FFT (50 epochs),1783.0,0,0,13.0,7.0,9.0,0.9629756471617317,16.77236507936508,0.816,0.84,0.798,283.0,0.936,0.838,0.42903448713215997,4.228,15478289,0.054,0.21,0.217,285.0,0.481,0.412,0.00048765769415999994,1.3739999999999999,15478289,0.524,0.637,0.536,344.0,0.853,0.732,0.111710918137728,3.282,15478289,0.231,0.408,0.277,291.0,0.736,0.604,0.011605575066624001,2.256,15478289,0.10133333333333333,0.232,0.201,247.0,0.509,0.393,0.0009452500389120003,1.4363333333333332,15478289,0.8333333333333334,0.8793650793650793,0.7380952380952381,333.0,0.9428571428571428,0.8023809523809524,0.40919175909214783,4.196031746031746,15478289
robust_convnext_base,"convnext_b,rob-sup,in1k",TRADES_v2,supervised (robust),fully convolutional,large,FFT (50 epochs),1966.0,0,0,9.0,8.0,10.0,0.955159304801535,16.63130158730159,0.748,0.892,0.878,357.0,0.964,0.91,0.51390091905152,4.392,1281167,0.07466666666666667,0.2986666666666667,0.427,372.0,0.655,0.588,0.0036674146850133337,2.0433333333333334,1281167,0.053,0.126,0.108,188.0,0.414,0.34933333333333333,0.00010430629977599998,1.0503333333333333,1281167,0.13,0.5,0.648,371.0,0.878,0.7493333333333333,0.027711365760000002,2.905333333333333,1281167,0.115,0.354,0.371,315.0,0.659,0.5373333333333333,0.00534815775676,2.0363333333333333,1281167,0.6642857142857143,0.8809523809523809,0.8253968253968254,363.0,0.9714285714285714,0.861904761904762,0.4044271412484657,4.203968253968254,1281167
convnext_tiny.fb_in22k_ft_in1k,"convnext_t,sup,in22k-in1k",TRADES_v2,supervised,fully convolutional,medium,FFT (50 epochs),1764.0,0,0,14.0,9.0,11.0,0.875281189351784,16.489968253968254,0.836,0.871,0.83,339.0,0.95,0.864,0.496066469184,4.351,15478289,0.021,0.028,0.02,200.0,0.503,0.42,2.4844175999999998e-06,0.992,15478289,0.5306666666666666,0.678,0.56,363.0,0.858,0.785,0.1357051952256,3.411666666666667,15478289,0.20266666666666666,0.28,0.248,245.0,0.651,0.52,0.004764050636800001,1.9016666666666668,15478289,0.20266666666666666,0.365,0.33466666666666667,323.0,0.6373333333333333,0.49,0.007731261453274073,2.0296666666666665,15478289,0.7841269841269841,0.7523809523809524,0.5119047619047619,294.0,0.9523809523809523,0.8031746031746032,0.23101172843451004,3.8039682539682538,15478289
convnext_base.fb_in1k,"convnext_b,sup,in1k",TRADES_v2,supervised,fully convolutional,large,FFT (50 epochs),1929.0,0,0,10.0,25.0,12.0,0.6233103656430858,16.42042857142857,0.838,0.871,0.812,338.0,0.958,0.856,0.48602373282444794,4.335,1281167,0.095,0.291,0.305,358.0,0.649,0.586,0.0032067030616499998,1.9259999999999997,1281167,0.532,0.605,0.473,328.0,0.815,0.723,0.08970652916609999,3.1479999999999997,1281167,0.248,0.474,0.472,378.0,0.852,0.726,0.03432007566028799,2.772,1281167,0.126,0.43,0.411,355.0,0.745,0.606,0.0100533249306,2.3179999999999996,1281167,0.10238095238095238,0.009523809523809525,0.0,172.0,0.9523809523809523,0.8571428571428571,0.0,1.9214285714285713,1281167
convnext_base.fb_in22k,"convnext_b,sup,in22k",CLASSIC_AT,supervised,fully convolutional,large,FFT (50 epochs),1913.0,0,0,11.0,13.0,13.0,0.7999355406848929,15.99288888888889,0.844,0.887,0.826,349.0,0.954,0.858,0.506152954603296,4.369,14197122,0.17,0.35733333333333334,0.356,379.0,0.66,0.546,0.007793078092800001,2.0893333333333333,14197122,0.62,0.76,0.68,397.0,0.908,0.844,0.24555144243200006,3.812,14197122,0.26666666666666666,0.48133333333333334,0.4,339.0,0.799,0.644,0.026418448497777778,2.591,14197122,0.183,0.42133333333333334,0.4186666666666667,357.0,0.7186666666666667,0.601,0.013942712344860443,2.3426666666666667,14197122,0.1595238095238095,0.1365079365079365,0.08571428571428572,92.0,0.21904761904761905,0.1880952380952381,7.690471415863613e-05,0.7888888888888889,14197122
convnext_tiny.fb_in1k,"convnext_t,sup,in1k",TRADES_v2,supervised,fully convolutional,medium,FFT (50 epochs),1672.0,0,0,15.0,23.0,14.0,0.6471098936147027,15.604809523809525,0.822,0.85,0.778,289.0,0.929,0.846,0.4272247627524,4.225,1281167,0.056,0.22266666666666668,0.196,315.0,0.604,0.509,0.0007513703046826667,1.5876666666666668,1281167,0.002,0.0,0.0,160.0,0.868,0.772,0.0,1.642,1281167,0.165,0.43866666666666665,0.37333333333333335,334.0,0.8226666666666667,0.658,0.014627332747377781,2.4576666666666664,1281167,0.117,0.357,0.31466666666666665,321.0,0.692,0.5546666666666666,0.005044788682752,2.035333333333333,1281167,0.7015873015873015,0.7619047619047619,0.580952380952381,253.0,0.8952380952380953,0.7174603174603175,0.1994616391274903,3.6571428571428575,1281167
CLIP-convnext_base_w-laion2B-s13B-b82K,"convnext_b,clip,laion2b",CLASSIC_AT,self-supervised (multimodal),fully convolutional,large,FFT (50 epochs),1626.0,0,0,20.0,14.0,15.0,0.7708017707241699,15.419238095238097,0.784,0.828,0.77,241.0,0.91,0.824,0.3748053044736,4.116,2320000000,0.082,0.178,0.172,257.0,0.342,0.291,0.000249851175264,1.065,2320000000,0.446,0.544,0.475,292.0,0.728,0.62,0.052017615104000006,2.813,2320000000,0.177,0.204,0.188,208.0,0.432,0.3,0.0008797641983999998,1.301,2320000000,0.117,0.354,0.405,319.0,0.659,0.544,0.006013515867840002,2.079,2320000000,0.6904761904761905,0.8571428571428571,0.7571428571428571,309.0,0.9452380952380952,0.7952380952380952,0.3368357199050659,4.045238095238095,2320000000
vit_base_patch16_clip_224.laion2b_ft_in1k,"vit_b,clip,laion2b",TRADES_v2,hybrid,fully attention,large,FFT (50 epochs),1565.0,0,0,21.0,24.0,16.0,0.6422195138577602,15.24073015873016,0.776,0.82,0.774,251.0,0.919,0.832,0.37657837062144,4.1209999999999996,2321281167,0.004,0.079,0.179,214.0,0.499,0.4146666666666667,1.1704147461333334e-05,1.1756666666666666,2321281167,0.173,0.224,0.084,262.0,0.815,0.724,0.0019207444300799999,2.02,2321281167,0.037,0.2613333333333333,0.255,211.0,0.705,0.539,0.0009369460715999999,1.7973333333333334,2321281167,0.066,0.382,0.438,340.0,0.767,0.615,0.005208970389480001,2.2680000000000002,2321281167,0.5857142857142857,0.8095238095238095,0.7333333333333333,287.0,0.9523809523809523,0.7777777777777778,0.25756277819769885,3.858730158730159,2321281167
convnext_base.fb_in22k_ft_in1k,"convnext_b,sup,in22k-in1k",CLASSIC_AT,supervised,fully convolutional,large,FFT (50 epochs),1790.0,0,0,12.0,5.0,17.0,1.0058086409399987,15.127682539682539,0.842,0.888,0.827,333.0,0.95,0.843,0.4952012665031999,4.35,15478289,0.14,0.316,0.327,351.0,0.599,0.528,0.004575342562560001,1.9100000000000001,15478289,0.014,0.014,0.014,79.0,0.014,0.018,6.91488e-10,0.074,15478289,0.259,0.457,0.409,341.0,0.802,0.656,0.025469327614304003,2.583,15478289,0.15866666666666668,0.321,0.316,300.0,0.6093333333333333,0.4826666666666667,0.00473347466348089,1.8876666666666666,15478289,0.8,0.8920634920634921,0.7880952380952381,386.0,0.9761904761904762,0.8666666666666667,0.4758292289049659,4.323015873015873,15478289
convnext_tiny.fb_in22k,"convnext_t,sup,in22k",TRADES_v2,supervised,fully convolutional,medium,FFT (50 epochs),1643.0,0,0,19.0,27.0,18.0,0.6123707947691618,15.066190476190478,0.805,0.842,0.763,275.0,0.937,0.849,0.41141468656239005,4.196000000000001,14197122,0.105,0.324,0.33066666666666666,356.0,0.628,0.536,0.0037865976422400004,1.9236666666666666,14197122,0.5546666666666666,0.688,0.558,367.0,0.862,0.776,0.142437286477824,3.4386666666666663,14197122,0.172,0.389,0.332,288.0,0.768,0.6333333333333333,0.0108046249984,2.2943333333333333,14197122,0.02666666666666667,0.027,0.022,116.0,0.081,0.064,8.211456000000001e-08,0.22066666666666668,14197122,0.580952380952381,0.4380952380952381,0.22857142857142856,241.0,0.9523809523809523,0.7928571428571428,0.04392751697374771,2.992857142857143,14197122
