dataset,,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset
metric,,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum
backbone,loss_function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eva02_tiny_patch14_224.mim_in22k,CLASSIC_AT,0.134,0.14,0.134,0.144,0.136,4.9231042560000016e-05,1,0.6880000000000001,0.010666666666666666,0.01,0.010666666666666666,0.010666666666666666,0.01,1.2136296296296296e-10,1,0.052,0.0,0.0,0.0,0.008,0.011,0.0,1,0.019,0.016,0.023,0.022,0.031,0.027,6.7763519999999995e-09,1,0.119,0.008,0.008,0.008,0.008,0.008,3.276800000000001e-11,1,0.04,0.10476190476190476,0.10476190476190476,0.09047619047619047,0.12380952380952381,0.10714285714285714,1.3172201177199094e-05,1,0.530952380952381
eva02_tiny_patch14_224.mim_in22k,TRADES_v2,0.13066666666666665,0.135,0.129,0.148,0.12933333333333333,4.355725247999999e-05,1,0.6719999999999999,0.003,0.0,0.0,0.03,0.024,0.0,1,0.057,0.0,0.0,0.0,0.014,0.008,0.0,1,0.022,0.006666666666666667,0.005333333333333333,0.0,0.03,0.032,0.0,1,0.07400000000000001,0.008,0.008,0.008,0.008,0.008,3.276800000000001e-11,1,0.04,0.07142857142857142,0.08095238095238096,0.0761904761904762,0.08571428571428572,0.08095238095238096,3.0569273384766934e-06,1,0.3952380952380952
resnet50.a1_in1k,CLASSIC_AT,0.083,0.0,0.0,0.586,0.462,0.0,1,1.131,0.0,0.0,0.0,0.015,0.010666666666666666,0.0,1,0.025666666666666664,0.0,0.0,0.0,0.121,0.096,0.0,1,0.217,0.0,0.0,0.0,0.03,0.027,0.0,1,0.056999999999999995,0.002,0.003,0.004,0.004,0.003,2.8800000000000004e-13,1,0.016,0.0,0.0,0.0,0.05476190476190476,0.06666666666666667,0.0,1,0.12142857142857143
resnet50.a1_in1k,TRADES_v2,0.055,0.0,0.0,0.803,0.627,0.0,1,1.485,0.0,0.0,0.0,0.008,0.01,0.0,1,0.018000000000000002,0.004,0.0,0.0,0.225,0.165,0.0,1,0.394,0.0,0.0,0.0,0.032,0.02666666666666667,0.0,1,0.05866666666666667,0.0,0.0,0.0,0.008,0.012,0.0,1,0.02,0.0,0.0,0.0,0.7714285714285715,0.5119047619047619,0.0,1,1.2833333333333332
robust_convnext_tiny,CLASSIC_AT,0.502,0.671,0.703,0.81,0.72,0.1381017168432,1,3.4059999999999997,0.001,0.013,0.03333333333333333,0.088,0.1,3.813333333333333e-09,1,0.23533333333333334,0.101,0.224,0.241,0.372,0.29733333333333334,0.000603077289472,1,1.2353333333333332,0.032,0.324,0.6253333333333333,0.8613333333333333,0.772,0.004311169744895999,1,2.6146666666666665,0.0,0.0013333333333333333,0.001,0.01,0.005,0.0,1,0.017333333333333333,0.0,0.006349206349206349,0.009523809523809525,0.1,0.10476190476190476,0.0,1,0.22063492063492063
robust_convnext_tiny,TRADES_v2,0.307,0.698,0.8,0.948,0.861,0.13992498656639998,1,3.614,0.003,0.007,0.016,0.09733333333333333,0.069,2.256576e-09,1,0.19233333333333336,0.018,0.018,0.016,0.016,0.018,1.4929919999999996e-09,1,0.08600000000000001,0.001,0.048,0.086,0.324,0.268,3.5844249600000003e-07,1,0.7270000000000001,0.01,0.022,0.029333333333333333,0.13333333333333333,0.096,8.260266666666665e-08,1,0.29066666666666663,0.01904761904761905,0.08571428571428572,0.13968253968253969,0.5555555555555556,0.3619047619047619,4.585195126173423e-05,1,1.161904761904762
robust_deit_small_patch16_224,CLASSIC_AT,0.153,0.152,0.143,0.167,0.155,8.608336308e-05,1,0.77,0.009,0.048,0.069,0.149,0.13733333333333334,6.09951168e-07,1,0.41233333333333333,0.0,0.001,0.002,0.025,0.02,0.0,1,0.048,0.048,0.376,0.494,0.81,0.737,0.00532241259264,1,2.4650000000000003,0.0,0.0,0.0,0.006,0.008,0.0,1,0.014,0.0,0.0,0.002380952380952381,0.04523809523809524,0.04523809523809524,0.0,1,0.09285714285714286
robust_deit_small_patch16_224,TRADES_v2,0.005,0.12,0.12533333333333332,0.2653333333333333,0.20666666666666667,4.123633777777777e-06,1,0.7223333333333333,0.005,0.006,0.008,0.013,0.017,5.3040000000000005e-11,1,0.048999999999999995,0.004,0.005,0.0026666666666666666,0.004,0.005,1.0666666666666667e-12,1,0.020666666666666667,0.027,0.02666666666666667,0.025333333333333333,0.025333333333333333,0.027,1.2476160000000002e-08,1,0.13133333333333333,0.0013333333333333333,0.0013333333333333333,0.003,0.051,0.041,1.1152e-11,1,0.09766666666666667,0.04285714285714286,0.04285714285714286,0.04523809523809524,0.04523809523809524,0.04523809523809524,1.7004323595327342e-07,1,0.22142857142857142
robust_resnet50,CLASSIC_AT,0.14,0.427,0.646,0.81,0.606,0.0189559725768,1,2.629,0.0,0.0,0.003,0.032,0.029,0.0,1,0.064,0.005,0.048,0.116,0.234,0.18266666666666667,1.1899929600000001e-06,1,0.5856666666666667,0.026,0.026,0.025,0.027,0.025,1.14075e-08,1,0.129,0.002,0.042,0.111,0.271,0.169,4.270298760000001e-07,1,0.595,0.17857142857142858,0.46904761904761905,0.5619047619047619,0.8380952380952381,0.55,0.02169440202384809,1,2.5976190476190473
robust_resnet50,TRADES_v2,0.088,0.114,0.122,0.15,0.137,2.5151227200000004e-05,1,0.611,0.0,0.002,0.011,0.13,0.093,0.0,1,0.23600000000000002,0.021333333333333333,0.121,0.246,0.479,0.345,0.00010493824703999996,1,1.2123333333333333,0.0,0.027,0.248,0.6,0.356,0.0,1,1.2309999999999999,0.001,0.016,0.057,0.246,0.148,3.3204096e-08,1,0.46799999999999997,0.03333333333333333,0.09285714285714286,0.12142857142857143,0.18571428571428572,0.14285714285714285,9.971539636262667e-06,1,0.5761904761904761
swin_tiny_patch4_window7_224.ms_in1k,CLASSIC_AT,,,,,,,1,,0.0,0.0,0.0,0.007,0.006,0.0,1,0.013000000000000001,0.007,0.0,0.0,0.007,0.005333333333333333,0.0,1,0.019333333333333334,0.028,0.02666666666666667,0.027,0.028,0.028,1.5805440000000003e-08,1,0.13766666666666666,0.008,0.0026666666666666666,0.003,0.008,0.008,4.096000000000001e-12,1,0.029666666666666668,0.0,0.0,0.0,0.05476190476190476,0.05238095238095238,0.0,1,0.10714285714285715
swin_tiny_patch4_window7_224.ms_in1k,TRADES_v2,0.342,0.152,0.096,0.902,0.764,0.0034390684753920005,1,2.2560000000000002,0.01,0.01,0.012,0.012,0.01,1.44e-10,1,0.054000000000000006,0.0,0.0,0.0,0.749,0.62,0.0,1,1.369,0.0026666666666666666,0.0,0.0,0.772,0.6653333333333333,0.0,1,1.44,0.0,0.0,0.0,0.044,0.029333333333333333,0.0,1,0.07333333333333333,0.0,0.0,0.0,0.2833333333333333,0.20714285714285716,0.0,1,0.4904761904761905
vit_small_patch16_224.augreg_in1k,CLASSIC_AT,0.144,0.151,0.162,0.194,0.148,0.00010113882393600001,1,0.799,0.01,0.012,0.016,0.016,0.014,4.3008000000000003e-10,1,0.068,0.0,0.0,0.0,0.006,0.016,0.0,1,0.022,0.013,0.014,0.008,0.012,0.016,2.79552e-10,1,0.063,0.008,0.008,0.006666666666666667,0.006666666666666667,0.008,2.2755555555555564e-11,1,0.037333333333333336,0.09841269841269841,0.10238095238095238,0.06984126984126984,0.22857142857142856,,0.0001608438185049782,1,0.4992063492063492
vit_small_patch16_224.augreg_in1k,TRADES_v2,0.049,0.026,0.006,0.671,0.523,2.6825318520000005e-06,1,1.2750000000000001,0.01,0.01,0.01,0.01,0.01,1.0000000000000002e-10,1,0.05,0.0013333333333333333,0.001,0.0,0.436,0.31466666666666665,0.0,1,0.753,0.013,0.018666666666666668,0.014,0.022,0.018666666666666668,1.3951715555555556e-09,1,0.08633333333333333,0.005,0.004,0.005,0.005,0.005,2.5000000000000003e-12,1,0.024,0.0,0.0,0.0,0.0761904761904762,0.06984126984126984,0.0,1,0.14603174603174604
vit_small_patch16_224.augreg_in21k,CLASSIC_AT,0.173,0.18533333333333332,0.198,0.22,0.171,0.00023882710895999998,1,0.9473333333333334,0.0013333333333333333,0.001,0.0013333333333333333,0.010666666666666666,0.01,1.8962962962962963e-13,1,0.024333333333333335,0.018,0.018,0.018,0.018,0.019,1.9945439999999992e-09,1,0.091,,,,,,,1,,0.006666666666666667,0.008,0.006666666666666667,0.006666666666666667,0.008,1.8962962962962968e-11,1,0.036000000000000004,0.01904761904761905,0.02142857142857143,0.03571428571428571,0.09523809523809523,0.08095238095238096,1.1238703450281958e-07,1,0.2523809523809524
vit_small_patch16_224.augreg_in21k,TRADES_v2,0.02266666666666667,0.005,0.0,0.795,0.636,0.0,1,1.4586666666666668,0.0,0.0,0.0,0.010666666666666666,0.01,0.0,1,0.020666666666666667,0.006,0.0,0.0,0.532,0.448,0.0,1,0.986,0.0,0.0,0.0,0.012,0.017,0.0,1,0.029,0.0,0.0,0.0,0.007,0.004,0.0,1,0.011,0.04523809523809524,0.04285714285714286,0.047619047619047616,0.05714285714285714,0.05238095238095238,2.763398848363446e-07,1,0.24523809523809523
vit_small_patch16_224.augreg_in21k_ft_in1k,CLASSIC_AT,0.137,0.138,0.137,0.143,0.135,5.0002305210000014e-05,1,0.6900000000000001,0.0,0.0,0.0,0.03,0.022,0.0,1,0.052,0.0,0.004,0.006,0.012,0.012,0.0,1,0.034,0.002,0.003,0.004,0.023,0.023,1.2695999999999998e-11,1,0.055,0.006666666666666667,0.008,0.006666666666666667,0.006666666666666667,0.008,1.8962962962962968e-11,1,0.036000000000000004,0.0,0.0,0.0,0.12380952380952381,0.1111111111111111,0.0,1,0.23492063492063492
vit_small_patch16_224.augreg_in21k_ft_in1k,TRADES_v2,,,,,,,1,,0.005,0.008,0.008,0.016,0.018666666666666668,9.557333333333336e-11,1,0.05566666666666667,0.002,0.004,0.006,0.006,0.004,1.1520000000000001e-12,1,0.022000000000000002,0.0,0.0,0.0,0.22,0.20533333333333334,0.0,1,0.42533333333333334,0.004,0.004,0.002,0.008,0.01,2.5600000000000004e-12,1,0.028000000000000004,0.02142857142857143,0.004761904761904762,0.002380952380952381,0.12142857142857143,0.09206349206349207,2.7160200004848076e-09,1,0.2420634920634921
vit_small_patch16_224.dino,CLASSIC_AT,0.07866666666666666,0.07866666666666666,0.092,0.092,0.09066666666666667,4.7490287691851845e-06,1,0.432,0.0,0.0,0.008,0.012,0.004,0.0,1,0.024,0.002,0.004,0.005,0.017,0.017333333333333333,1.1786666666666667e-11,1,0.04533333333333334,0.027,0.026,0.025333333333333333,0.025333333333333333,0.027,1.2164255999999998e-08,1,0.13066666666666665,0.0,0.0,0.0,0.022,0.016,0.0,1,0.038,0.022222222222222223,0.07380952380952381,0.07857142857142857,0.12142857142857143,0.10238095238095238,1.6021552233894314e-06,1,0.39841269841269844
vit_small_patch16_224.dino,TRADES_v2,0.028,0.028,0.028,0.028,0.028,1.7210368e-08,1,0.14,0.0,0.0,0.0,0.017,0.016,0.0,1,0.033,0.0,0.0,0.0,0.016,0.009,0.0,1,0.025,0.0,0.0,0.004,0.03,0.029,0.0,1,0.063,0.0,0.0,0.0,0.008,0.008,0.0,1,0.016,0.0,0.0,0.0,0.031746031746031744,0.04285714285714286,0.0,1,0.0746031746031746
