dataset,,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset
metric,,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum
backbone,loss_function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
convnext_base.fb_in22k_ft_in1k,CLASSIC_AT,,,0.8186666666666667,0.9586666666666667,,,2,,0.14,0.316,0.327,0.599,0.528,0.004575342562560001,2,1.9100000000000001,,,0.6346666666666667,0.8893333333333333,,,2,,0.259,0.457,0.409,0.802,0.656,0.025469327614304003,2,2.583,0.15866666666666668,,0.316,0.6093333333333333,,,2,,0.8,0.8920634920634921,0.7880952380952381,0.9761904761904762,0.8666666666666667,0.4758292289049659,2,4.323015873015873
convnext_base.fb_in22k_ft_in1k,TRADES_v2,,,0.834,0.954,,,2,,0.11,0.352,0.379,0.66,0.579,0.0056078586432,2,2.08,,,0.6706666666666666,0.9,,,2,,0.25333333333333335,0.492,0.424,0.819,0.7013333333333334,0.030355100805119998,2,2.6896666666666667,0.169,0.395,0.393,0.726,0.62,0.011808769915800002,2,2.303,0.0,0.0,0.0,0.9523809523809523,0.8063492063492064,0.0,2,1.7587301587301587
eva02_base_patch14_224.mim_in22k,CLASSIC_AT,,,,,,,2,,0.024,0.06266666666666666,0.068,0.172,0.153,2.6913899519999997e-06,2,0.4796666666666667,0.422,,0.512,0.773,,,2,,0.103,0.13,0.07733333333333334,0.28,0.255,7.393422400000001e-05,2,0.8453333333333334,0.036,0.09333333333333334,0.077,0.222,0.18,1.03384512e-05,2,0.6083333333333333,0.7428571428571429,0.8698412698412699,0.7595238095238095,0.95,0.7968253968253968,0.37151254069377815,2,4.119047619047619
eva02_base_patch14_224.mim_in22k,TRADES_v2,,,,,,,2,,0.09866666666666667,0.331,0.328,0.5946666666666667,0.541,0.003446221235825778,2,1.8933333333333335,0.404,0.625,0.5386666666666666,0.828,0.7186666666666667,0.08093555008,2,3.114333333333333,0.224,0.451,0.36666666666666664,0.768,0.631,0.0179509141504,2,2.440666666666667,0.118,0.42,0.442,0.749,0.633,0.010385779425840002,2,2.362,0.07380952380952381,0.8,0.7619047619047619,0.9761904761904762,0.8142857142857143,0.035761395714748484,2,3.4261904761904765
robust_convnext_base,CLASSIC_AT,,,0.904,0.976,,,2,,0.04,0.202,0.335,0.563,0.482,0.0007345334888,2,1.6219999999999999,0.382,0.519,0.47733333333333333,0.7133333333333334,0.603,0.040706364281279994,2,2.6946666666666665,0.162,0.529,0.618,0.856,0.747,0.03386519090524801,2,2.912,0.097,0.254,0.244,0.518,0.4066666666666667,0.0012663787457066669,2,1.5196666666666667,0.10476190476190476,0.1619047619047619,0.12142857142857143,0.16428571428571428,0.12698412698412698,4.2966812035255744e-05,2,0.6793650793650793
robust_convnext_base,TRADES_v2,,,,,,,2,,0.07466666666666667,0.2986666666666667,0.427,0.655,0.588,0.0036674146850133337,2,2.0433333333333334,0.053,0.126,0.108,0.414,0.34933333333333333,0.00010430629977599998,2,1.0503333333333333,0.13,0.5,0.648,0.878,0.7493333333333333,0.027711365760000002,2,2.905333333333333,0.115,0.354,0.371,0.659,0.5373333333333333,0.00534815775676,2,2.0363333333333333,0.6642857142857143,0.8809523809523809,0.8253968253968254,0.9714285714285714,0.861904761904762,0.4044271412484657,2,4.203968253968254
robust_vit_base_patch16_224,CLASSIC_AT,0.76,,0.8346666666666667,0.9453333333333334,,,2,,0.01,,0.015,0.091,,,2,,0.019,,0.052,0.09,,,2,,0.118,,0.402,0.824,,,2,,0.009333333333333334,0.021333333333333333,0.012,0.05,,1.1946666666666668e-07,2,0.09266666666666666,0.009523809523809525,,0.02857142857142857,0.1746031746031746,,,2,
robust_vit_base_patch16_224,TRADES_v2,0.755,,0.814,0.943,,,2,,0.021,,0.222,0.516,,,2,,0.036,,0.054,0.471,,,2,,0.008,0.112,0.063,0.602,,3.3981696e-05,2,0.785,0.037,0.136,0.129,0.423,,0.000274581144,2,0.7250000000000001,0.0,,0.0,0.10714285714285714,,,2,
swin_base_patch4_window7_224.ms_in22k_ft_in1k,CLASSIC_AT,,,0.792,0.937,,,2,,0.054,0.21,0.217,0.481,0.412,0.00048765769415999994,2,1.3739999999999999,0.524,0.637,0.536,0.853,0.732,0.111710918137728,2,3.282,0.231,0.408,0.277,0.736,0.604,0.011605575066624001,2,2.256,0.10133333333333333,0.232,0.201,0.509,0.393,0.0009452500389120003,2,1.4363333333333332,0.8333333333333334,0.8793650793650793,0.7380952380952381,0.9428571428571428,0.8023809523809524,0.40919175909214783,2,4.196031746031746
swin_base_patch4_window7_224.ms_in22k_ft_in1k,TRADES_v2,,,0.801,0.938,,,2,,0.068,0.264,0.298,0.606,0.52,0.0016857962035200004,2,1.756,0.545,0.658,0.532,0.859,0.744,0.12192706720992003,2,3.338,0.216,0.43,0.336,0.787,0.656,0.01611165136896,2,2.425,0.12,0.338,0.307,0.686,0.55,0.004698109416000001,2,2.0010000000000003,0.8547619047619047,0.8761904761904762,0.7214285714285714,0.9547619047619048,0.8380952380952381,0.4323400613647899,2,4.245238095238095
vit_base_patch16_224.augreg_in1k,CLASSIC_AT,0.681,0.756,0.683,0.877,0.78,0.24053806177128004,2,3.777,0.011,0.04933333333333333,0.09733333333333333,0.352,0.276,5.131525461333333e-06,2,0.7856666666666666,0.20266666666666666,0.352,0.313,0.632,0.536,0.007563994311338666,2,2.0356666666666667,0.022,0.036,0.035,0.062,0.048,8.249471999999999e-08,2,0.203,0.011,0.048,0.053,0.269,0.215,1.61845464e-06,2,0.596,0.6857142857142857,0.8095238095238095,0.6928571428571428,0.9357142857142857,0.7857142857142857,0.28276420539061103,2,3.90952380952381
vit_base_patch16_224.augreg_in1k,TRADES_v2,0.7173333333333334,0.748,0.691,0.901,0.804,0.26858484094604806,2,3.8613333333333335,0.017,0.128,0.155,0.497,0.43,7.20801088e-05,2,1.227,0.041,0.06,0.031,0.191,0.154,2.24311164e-06,2,0.477,0.07,0.258,0.19,0.712,0.562,0.0013730541216,2,1.792,0.028,0.152,0.142,0.538,0.436,0.00014176163993599998,2,1.296,0.680952380952381,0.7952380952380952,0.6349206349206349,0.9428571428571428,0.7904761904761904,0.25625246388372863,2,3.844444444444444
vit_base_patch16_224.augreg_in21k,CLASSIC_AT,0.6586666666666666,0.7093333333333334,0.6426666666666667,0.844,0.75,0.1900664833137778,2,3.6046666666666667,0.013333333333333334,0.023,0.03,0.114,0.088,9.22944e-08,2,0.2683333333333333,0.058,0.158,0.158,0.356,0.278,0.000143296954816,2,1.008,0.061,0.076,0.044,0.152,0.125,3.875696e-06,2,0.458,0.006,0.016,0.02666666666666667,0.13333333333333333,0.108,3.6864000000000005e-08,2,0.29,0.38095238095238093,0.6698412698412698,0.530952380952381,0.8571428571428571,0.6761904761904762,0.07852725679409005,2,3.1150793650793647
vit_base_patch16_224.augreg_in21k,TRADES_v2,0.733,0.802,0.737,0.894,0.81,0.31373889922188003,2,3.976,0.004,0.016,0.011,0.178,0.154,1.9298047999999997e-08,2,0.363,0.005,0.255,0.202,0.811,0.73,0.00015247732650000003,2,2.003,0.003,0.014,0.009,0.181,0.14,9.57852e-09,2,0.34700000000000003,0.007,0.081,0.093,0.404,0.321,6.838367004000001e-06,2,0.9059999999999999,,,,,,,2,
vit_base_patch16_224.augreg_in21k_ft_in1k,CLASSIC_AT,0.73,0.783,0.709,0.886,0.787,0.28257862763142,2,3.895,0.01,0.028,0.047,0.15,0.135,2.6649000000000005e-07,2,0.37,0.005333333333333333,0.026,0.0,0.812,0.768,0.0,2,1.6113333333333335,0.047,0.094,0.061,0.205,0.161,8.89478149e-06,2,0.568,0.006,0.037333333333333336,0.037,0.181,0.136,2.0401740800000002e-07,2,0.39733333333333337,0.06190476190476191,0.09761904761904762,0.14047619047619048,0.20952380952380953,0.1619047619047619,2.8797470973416187e-05,2,0.6714285714285714
vit_base_patch16_224.augreg_in21k_ft_in1k,TRADES_v2,0.666,0.811,0.739,0.917,0.829,0.303433403191002,2,3.9619999999999997,0.001,0.01,0.009,0.1,0.088,7.920000000000001e-10,2,0.208,,,,,,,2,,0.06133333333333333,0.20133333333333334,0.144,0.62,0.496,0.0005468246835199999,2,1.5226666666666666,0.01,0.09866666666666667,0.116,0.419,0.334,1.6017286186666666e-05,2,0.9776666666666667,0.0,0.0,0.0,0.04285714285714286,0.09285714285714286,0.0,2,0.13571428571428573
vit_base_patch16_224.mae,CLASSIC_AT,0.587,,0.692,0.87,,,2,,0.024,,0.168,0.421,,,2,,0.02666666666666667,,0.336,0.699,,,2,,0.016,0.025,0.03,0.072,,8.639999999999999e-07,2,0.14300000000000002,0.01,0.039,0.041,0.173,,2.76627e-06,2,0.263,0.36666666666666664,,0.6333333333333333,0.9333333333333333,,,2,
vit_base_patch16_224.mae,TRADES_v2,0.155,,0.759,0.914,,,2,,0.019,,0.232,0.564,,,2,,0.004,,0.09,0.3,,,2,,0.024,,0.293,0.77,,,2,,0.042,,0.279,0.641,,,2,,0.0,,0.2698412698412698,0.873015873015873,,,2,
vit_base_patch16_clip_224.laion2b,CLASSIC_AT,0.609,0.652,0.6,0.782,0.669,0.12463758044640003,2,3.3120000000000003,0.008,0.018,0.024,0.06,0.05466666666666667,1.1335679999999999e-08,2,0.16466666666666666,0.052,0.163,0.17466666666666666,0.38,0.326,0.00018340120170666667,2,1.0956666666666668,0.023,0.038,0.034666666666666665,0.08933333333333333,0.072,1.9488102399999996e-07,2,0.257,0.006,0.016,0.024,0.079,0.06,1.092096e-08,2,0.185,0.6523809523809524,0.680952380952381,0.5555555555555556,0.9428571428571428,0.707936507936508,0.1647349372603665,2,3.53968253968254
vit_base_patch16_clip_224.laion2b,TRADES_v2,0.7573333333333333,0.829,0.765,0.921,0.824,0.3644935771737599,2,4.096333333333333,0.007,0.06,0.129,0.391,0.3,6.355314000000001e-06,2,0.887,0.341,0.5493333333333333,0.478,0.806,0.692,0.04994124496580267,2,2.8663333333333334,0.077,0.33866666666666667,0.304,0.786,0.656,0.004087550652416,2,2.1616666666666666,0.075,0.43066666666666664,0.5,0.827,0.712,0.009509507599999998,2,2.5446666666666666,0.023809523809523808,0.030952380952380953,0.05,0.0880952380952381,0.08253968253968254,2.6793534244133534e-07,2,0.2753968253968254
vit_base_patch16_clip_224.laion2b_ft_in1k,CLASSIC_AT,0.46,0.558,0.498,0.701,0.584,0.052330181189759996,2,2.801,0.008,0.013333333333333334,0.017,0.043,0.039,3.0409600000000006e-09,2,0.12033333333333335,0.038,0.134,0.138,0.373,0.2946666666666667,7.723378582400001e-05,2,0.9776666666666667,0.016,0.04133333333333333,0.036,0.121,0.10133333333333333,2.919178239999999e-07,2,0.31566666666666665,0.007,0.019,0.02266666666666667,0.11866666666666667,0.07066666666666667,2.528032474074074e-08,2,0.238,0.23095238095238096,0.1523809523809524,0.09841269841269841,0.48253968253968255,0.4031746031746032,0.0006737991655754659,2,1.3674603174603175
vit_base_patch16_clip_224.laion2b_ft_in1k,TRADES_v2,0.776,0.82,0.774,0.919,0.832,0.37657837062144,2,4.1209999999999996,0.004,0.079,0.179,0.499,0.4146666666666667,1.1704147461333334e-05,2,1.1756666666666666,0.173,0.224,0.084,0.815,0.724,0.0019207444300799999,2,2.02,0.037,0.2613333333333333,0.255,0.705,0.539,0.0009369460715999999,2,1.7973333333333334,0.066,0.382,0.438,0.767,0.615,0.005208970389480001,2,2.2680000000000002,0.5857142857142857,0.8095238095238095,0.7333333333333333,0.9523809523809523,0.7777777777777778,0.25756277819769885,2,3.858730158730159
