,clean_acc,Linf_acc,L2_acc,L1_acc,common_acc,sum,geom,model_size,backbone,dataset,loss_function,model_type
0,0.9555555555555556,0.19365079365079366,0.5206349206349207,0.5190476190476191,0.7833333333333333,2.9722222222222223,0.03917078977596657,2,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,uc-merced-land-use-dataset,TRADES_v2,fully convolutional
1,0.9523809523809523,0.8,0.888095238095238,0.7492063492063492,0.8476190476190476,4.237301587301587,0.42969706380914674,2,CLIP-convnext_base_w-laion2B-s13B-b82K,uc-merced-land-use-dataset,TRADES_v2,fully convolutional
2,0.765079365079365,0.0,0.0,0.0,0.4857142857142857,1.2507936507936508,0.0,1,deit_small_patch16_224.fb_in1k,uc-merced-land-use-dataset,TRADES_v2,fully attention
3,0.18571428571428572,0.009523809523809525,0.0,0.0,0.13015873015873017,0.3253968253968254,0.0,1,robust_resnet50,uc-merced-land-use-dataset,TRADES_v2,fully convolutional
4,0.5238095238095238,0.22380952380952382,0.29523809523809524,0.2357142857142857,0.3523809523809524,1.6309523809523812,0.0028748995678608345,1,vit_small_patch16_224.augreg_in21k,uc-merced-land-use-dataset,TRADES_v2,fully attention
5,0.9523809523809523,0.0,0.009523809523809525,0.10238095238095238,0.8571428571428571,1.9214285714285713,0.0,2,convnext_base.fb_in1k,uc-merced-land-use-dataset,TRADES_v2,fully convolutional
6,0.6404761904761904,0.0,0.0,0.0,0.4714285714285714,1.111904761904762,0.0,1,resnet50.a1_in1k,uc-merced-land-use-dataset,TRADES_v2,fully convolutional
7,0.10714285714285714,0.0,0.0,0.0,0.07380952380952381,0.18095238095238095,0.0,2,robust_vit_base_patch16_224,uc-merced-land-use-dataset,TRADES_v2,fully attention
8,0.873015873015873,0.2698412698412698,0.0,0.0,0.6452380952380953,1.788095238095238,0.0,2,vit_base_patch16_224.mae,uc-merced-land-use-dataset,TRADES_v2,fully attention
9,0.8285714285714286,0.2119047619047619,0.3682539682539683,0.12380952380952381,0.5428571428571428,2.0753968253968256,0.004345679717519229,1,vit_small_patch16_224.dino,uc-merced-land-use-dataset,TRADES_v2,fully attention
10,0.9666666666666667,0.8,0.9,0.8238095238095238,0.8634920634920635,4.3539682539682545,0.49510167800453525,2,convnext_base.fb_in22k,uc-merced-land-use-dataset,TRADES_v2,fully convolutional
11,0.9714285714285714,0.8253968253968254,0.8809523809523809,0.6642857142857143,0.861904761904762,4.203968253968254,0.4044271412484657,2,robust_convnext_base,uc-merced-land-use-dataset,TRADES_v2,fully convolutional
12,0.9428571428571428,0.6349206349206349,0.7952380952380952,0.680952380952381,0.7904761904761904,3.844444444444444,0.25625246388372863,2,vit_base_patch16_224.augreg_in1k,uc-merced-land-use-dataset,TRADES_v2,fully attention
13,,,,,,,,2,vit_base_patch16_224.augreg_in21k,uc-merced-land-use-dataset,TRADES_v2,fully attention
14,0.0880952380952381,0.05,0.030952380952380953,0.023809523809523808,0.08253968253968254,0.2753968253968254,2.6793534244133534e-07,2,vit_base_patch16_clip_224.laion2b,uc-merced-land-use-dataset,TRADES_v2,fully attention
15,0.8952380952380953,0.580952380952381,0.7619047619047619,0.7015873015873015,0.7174603174603175,3.6571428571428575,0.1994616391274903,1,convnext_tiny.fb_in1k,uc-merced-land-use-dataset,TRADES_v2,fully convolutional
16,0.9595238095238096,0.8595238095238096,0.8357142857142857,0.5047619047619047,0.8222222222222222,3.981746031746032,0.2860535054066978,1,robust_convnext_tiny,uc-merced-land-use-dataset,TRADES_v2,fully convolutional
17,0.18333333333333332,0.01904761904761905,0.023809523809523808,0.0,0.15,0.3761904761904762,0.0,1,robust_deit_small_patch16_224,uc-merced-land-use-dataset,TRADES_v2,fully attention
18,0.8833333333333333,0.5,0.669047619047619,0.5301587301587302,0.6761904761904762,3.2587301587301587,0.10593186540930305,1,vit_small_patch16_224.augreg_in1k,uc-merced-land-use-dataset,TRADES_v2,fully attention
19,0.9523809523809523,0.22857142857142856,0.4380952380952381,0.580952380952381,0.7928571428571428,2.992857142857143,0.04392751697374771,1,convnext_tiny.fb_in22k,uc-merced-land-use-dataset,TRADES_v2,fully convolutional
20,0.9523809523809523,0.7333333333333333,0.8095238095238095,0.5857142857142857,0.7777777777777778,3.858730158730159,0.25756277819769885,2,vit_base_patch16_clip_224.laion2b_ft_in1k,uc-merced-land-use-dataset,TRADES_v2,fully attention
21,0.04285714285714286,0.0,0.0,0.0,0.09285714285714286,0.13571428571428573,0.0,2,vit_base_patch16_224.augreg_in21k_ft_in1k,uc-merced-land-use-dataset,TRADES_v2,fully attention
22,,,,,,,,1,vit_small_patch16_224.augreg_in21k_ft_in1k,uc-merced-land-use-dataset,TRADES_v2,fully attention
23,0.9761904761904762,0.7619047619047619,0.8,0.07380952380952381,0.8142857142857143,3.4261904761904765,0.035761395714748484,2,eva02_base_patch14_224.mim_in22k,uc-merced-land-use-dataset,TRADES_v2,fully attention
24,0.42142857142857143,0.0,0.0,0.0,0.24047619047619048,0.6619047619047619,0.0,1,eva02_tiny_patch14_224.mim_in22k,uc-merced-land-use-dataset,TRADES_v2,fully attention
25,0.9547619047619048,0.7214285714285714,0.8761904761904762,0.8547619047619047,0.8380952380952381,4.245238095238095,0.4323400613647899,2,swin_base_patch4_window7_224.ms_in22k_ft_in1k,uc-merced-land-use-dataset,TRADES_v2,fully attention
26,,,,,,,,1,swin_tiny_patch4_window7_224.ms_in1k,uc-merced-land-use-dataset,TRADES_v2,fully attention
