dataset,,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset
metric,,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum
backbone,loss_function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
convnext_base.fb_in22k,TRADES_v2,0.0,0.0,0.0,0.965,0.919,0.0,2,1.884,0.0,0.0,0.0,0.2733333333333333,0.218,0.0,2,0.4913333333333333,0.0,0.0,0.0,0.958,0.906,0.0,2,1.8639999999999999,0.0,0.0,0.0,0.91,0.86,0.0,2,1.77,0.0,0.0,0.0,0.38666666666666666,0.32,0.0,2,0.7066666666666667,0.0,0.0,0.0,0.19047619047619047,,0.0,2,0.19047619047619047
convnext_base.fb_in22k_ft_in1k,CLASSIC_AT,0.010666666666666666,,0.0,0.7973333333333333,,,2,,0.0,,0.0,0.112,,,2,,0.0,,0.0,0.48,,,2,,0.0,,0.0,0.772,,,2,,0.0,,0.0,0.154,,,2,,0.0,,0.0,0.05714285714285714,,,2,
convnext_base.fb_in22k_ft_in1k,TRADES_v2,0.002,,0.0,0.968,,,2,,0.0,,0.0,0.268,,,2,,0.0,,0.0,0.977,,,2,,0.0,,0.0,0.9133333333333333,,,2,,0.0,,0.0,0.43,,,2,,0.0,,0.0,0.5952380952380952,,,2,
eva02_base_patch14_224.mim_in22k,CLASSIC_AT,0.121,,0.0,0.698,,,2,,0.002,,0.0,0.203,,,2,,0.0,,0.0,0.504,,,2,,0.0,,0.0,0.537,,,2,,0.0026666666666666666,,0.0,0.246,,,2,,0.0,,0.0,0.5333333333333333,,,2,
eva02_base_patch14_224.mim_in22k,TRADES_v2,0.073,,0.0,0.918,,,2,,0.0,,0.0,0.33066666666666666,,,2,,0.0,,0.0,0.88,,,2,,0.0,,0.0,0.852,,,2,,0.0,,0.0,0.69,,,2,,0.0,,0.0,0.707936507936508,,,2,
robust_convnext_base,CLASSIC_AT,0.094,,0.158,0.336,,,2,,0.0,,0.0,0.044,,,2,,0.003,,0.002,0.055,,,2,,0.01,0.012,0.013333333333333334,0.22933333333333333,,3.669333333333334e-07,2,0.26466666666666666,0.005333333333333333,0.008,0.008,0.012,,4.096e-09,2,0.03333333333333333,0.05952380952380952,,0.06666666666666667,0.4666666666666667,,,2,
robust_convnext_base,TRADES_v2,0.086,,0.132,0.333,,,2,,0.001,,0.0,0.037,,,2,,0.0,,0.0013333333333333333,0.04133333333333333,,,2,,0.009,0.010666666666666666,0.009,0.193,,1.6675199999999996e-07,2,0.22166666666666668,0.0013333333333333333,0.003,0.003,0.013,,1.56e-10,2,0.02033333333333333,0.14285714285714285,,0.16507936507936508,0.7587301587301587,,,2,
robust_vit_base_patch16_224,CLASSIC_AT,0.017,0.012,0.002,0.268,0.236,2.5805184e-08,2,0.535,0.0,0.0,0.0,0.052,0.043,0.0,2,0.095,0.001,0.0,0.0,0.14133333333333334,0.10533333333333333,0.0,2,0.24766666666666667,0.0,0.0,0.0,0.216,0.167,0.0,2,0.383,0.0,0.0,0.0,0.017,0.017,0.0,2,0.034,0.0,0.0,0.0,0.06666666666666667,,0.0,2,0.06666666666666667
robust_vit_base_patch16_224,TRADES_v2,0.0,0.0,0.0,0.30933333333333335,0.28,0.0,2,0.5893333333333334,0.0,0.0,0.0,0.048,0.041,0.0,2,0.089,0.0,0.0,0.0,0.008,0.011,0.0,2,0.019,0.0,0.0,0.0,0.204,0.184,0.0,2,0.388,0.0,0.0,0.0,0.012,0.018666666666666668,0.0,2,0.03066666666666667,0.002380952380952381,0.004761904761904762,0.009523809523809525,0.3619047619047619,,3.90783675526144e-08,2,0.37857142857142856
swin_base_patch4_window7_224.ms_in22k_ft_in1k,CLASSIC_AT,0.032,,0.0,0.825,,,2,,0.0,,0.0,0.11,,,2,,0.0,,0.0,0.786,,,2,,0.0,,0.0,0.779,,,2,,0.0,,0.0,0.153,,,2,,0.0,,0.0,0.6952380952380952,,,2,
swin_base_patch4_window7_224.ms_in22k_ft_in1k,TRADES_v2,0.008,,0.0,0.949,,,2,,0.0,,0.0,0.254,,,2,,0.0,,0.0,0.934,,,2,,0.0,,0.0,0.916,,,2,,0.0,,0.0,0.37866666666666665,,,2,,0.0,,0.0,0.8357142857142857,,,2,
vit_base_patch16_224.augreg_in1k,CLASSIC_AT,0.049,0.006,0.0013333333333333333,0.5466666666666666,,2.1429333333333334e-07,2,0.603,0.0,,0.0,0.07,,,2,,0.0,,0.0,0.17866666666666667,,,2,,0.0,0.0,0.0,0.6093333333333333,,0.0,2,0.6093333333333333,0.0,0.0,0.0,0.07,,0.0,2,0.07,,,,,,,2,
vit_base_patch16_224.augreg_in1k,TRADES_v2,0.004,0.0,0.0,0.8653333333333333,,0.0,2,0.8693333333333333,0.0,,0.0,0.124,,,2,,0.0,,0.0,0.271,,,2,,0.0,0.0,0.0,0.814,,0.0,2,0.814,0.0,0.0,0.0,0.234,,0.0,2,0.234,0.0,,0.0,0.03333333333333333,,,2,
vit_base_patch16_224.augreg_in21k,CLASSIC_AT,0.017,0.003,0.001,0.798,,4.0698000000000005e-08,2,0.8190000000000001,0.0,,0.0,0.142,,,2,,0.0,,0.0,0.016,,,2,,0.0,0.0,0.0,0.5293333333333333,,0.0,2,0.5293333333333333,0.0,0.0,0.0,0.146,,0.0,2,0.146,0.0,,0.0,0.0880952380952381,,,2,
vit_base_patch16_224.augreg_in21k,TRADES_v2,0.0,0.0,0.0,0.06,,0.0,2,0.06,0.0,,0.0,0.108,,,2,,0.0,,0.0,0.018,,,2,,0.0,0.0,0.0,0.03,,0.0,2,0.03,0.0,0.0,0.0,0.24533333333333332,,0.0,2,0.24533333333333332,0.0,,0.0,0.06031746031746032,,,2,
vit_base_patch16_224.augreg_in21k_ft_in1k,CLASSIC_AT,0.032,,0.0013333333333333333,0.8013333333333333,,,2,,0.0,,0.0,0.13,,,2,,0.0,,0.0,0.111,,,2,,0.0,0.0,0.0,0.595,,0.0,2,0.595,0.0,0.0,0.0,0.175,,0.0,2,0.175,0.0,,0.0,0.11904761904761904,,,2,
vit_base_patch16_224.augreg_in21k_ft_in1k,TRADES_v2,0.0,,0.0,0.292,,,2,,0.0,,0.0,0.134,,,2,,0.0,,0.0,0.04,,,2,,0.0,0.0,0.0,0.016,,0.0,2,0.016,0.0,0.0,0.0,0.228,,0.0,2,0.228,0.0,,0.0,0.32063492063492066,,,2,
vit_base_patch16_224.mae,CLASSIC_AT,0.0,0.0,0.0,0.151,0.13,0.0,2,0.281,0.0,0.0,0.0,0.022,0.02,0.0,2,0.041999999999999996,0.0,0.0,0.0,0.071,0.056,0.0,2,0.127,0.0,0.0,0.0,0.057,0.058666666666666666,0.0,2,0.11566666666666667,0.0,0.0,0.0,0.004,0.006666666666666667,0.0,2,0.010666666666666668,0.0,0.0,0.0,0.05238095238095238,,0.0,2,0.05238095238095238
vit_base_patch16_224.mae,TRADES_v2,0.0,0.0,0.0,0.157,0.138,0.0,2,0.29500000000000004,0.0,0.0,0.0,0.048,0.035,0.0,2,0.083,0.0,0.0,0.0,0.013,0.013,0.0,2,0.026,0.0,0.0,0.0,0.176,0.13333333333333333,0.0,2,0.30933333333333335,0.0,0.0,0.0,0.011,0.012,0.0,2,0.023,0.0,0.0,0.0,0.07380952380952381,,0.0,2,0.07380952380952381
vit_base_patch16_clip_224.laion2b,CLASSIC_AT,0.088,,0.0,0.54,,,2,,0.0,,0.0,0.177,,,2,,0.0,,0.0,0.001,,,2,,0.0,0.0,0.0,0.442,,0.0,2,0.442,0.0,0.0,0.0,0.386,,0.0,2,0.386,0.0,,0.0,0.5047619047619047,,,2,
vit_base_patch16_clip_224.laion2b,TRADES_v2,0.002,0.0,0.0,0.9106666666666666,,0.0,2,0.9126666666666666,0.0,,0.0,0.364,,,2,,0.0,,0.0,0.009333333333333334,,,2,,0.0,0.0,0.0,0.782,,0.0,2,0.782,0.0,0.0,0.0,0.894,,0.0,2,0.894,,,,,,,2,
vit_base_patch16_clip_224.laion2b_ft_in1k,CLASSIC_AT,0.032,,0.0,0.502,,,2,,0.0,,0.0,0.101,,,2,,0.0,,0.0,0.806,,,2,,0.0,0.0,0.0,0.736,,0.0,2,0.736,0.0,0.0,0.0,0.337,,0.0,2,0.337,0.0,,0.0,0.5785714285714286,,,2,
vit_base_patch16_clip_224.laion2b_ft_in1k,TRADES_v2,0.006,,0.0,0.936,,,2,,0.0,,0.0,0.247,,,2,,0.0,,0.0,0.818,,,2,,0.0,0.0,0.0,0.882,,0.0,2,0.882,0.0,0.0,0.0,0.762,,0.0,2,0.762,0.0,,0.0,0.06666666666666667,,,2,
