dataset,,,,,,,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset
metric,,,,,,,borda,nan_geom_cnt,nan_sum_cnt,rank_borda,rank_geom,rank_sum,score_geom,score_sum,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data
backbone,backbone_name,loss_function,pre_training_strategy,model_type,model_size,ft_strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swin_tiny_patch4_window7_224.ms_in1k,"swin_t,sup,in1k",TRADES_v2,supervised,fully attention,medium,FFT (50 epochs),1157.0,0,0,30.0,16.0,9.0,0.0034390686193920003,5.6828095238095235,0.342,0.152,0.096,315.0,0.902,0.764,0.0034390684753920005,2.2560000000000002,1281167,0.01,0.01,0.012,253.0,0.012,0.01,1.44e-10,0.054000000000000006,1281167,0.0,0.0,0.0,161.0,0.749,0.62,0.0,1.369,1281167,0.0026666666666666666,0.0,0.0,182.0,0.772,0.6653333333333333,0.0,1.44,1281167,0.0,0.0,0.0,122.0,0.044,0.029333333333333333,0.0,0.07333333333333333,1281167,0.0,0.0,0.0,124.0,0.2833333333333333,0.20714285714285716,0.0,0.4904761904761905,1281167
CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,"convnext_b,clip,laiona",TRADES_v2,self-supervised (multimodal),fully convolutional,large,FFT (50 epochs),1387.0,0,0,11.0,8.0,10.0,0.019392765135892456,5.568825396825397,0.4026666666666667,0.405,0.304,322.0,0.666,0.586,0.01934844786432,2.3636666666666666,900000000,0.01,0.008,0.01,204.0,0.01,0.01,8.000000000000001e-11,0.048,900000000,0.0,0.0,0.0,65.0,0.012,0.015,0.0,0.027,900000000,0.029333333333333333,0.023,0.011,268.0,0.037,0.032,8.786858666666665e-09,0.13233333333333336,900000000,0.001,0.0,0.0,188.0,0.8773333333333333,0.7893333333333333,0.0,1.6676666666666666,900000000,0.12698412698412698,0.08571428571428572,0.014285714285714285,340.0,0.6904761904761905,0.4126984126984127,4.4308404713791346e-05,1.33015873015873,900000000
convnext_tiny.fb_in1k,"convnext_t,sup,in1k",TRADES_v2,supervised,fully convolutional,medium,FFT (50 epochs),982.0,0,0,48.0,71.0,11.0,3.276800000000001e-11,5.52152380952381,0.0,0.0,0.0,158.0,0.945,0.838,0.0,1.783,1281167,0.0,0.0,0.0,131.0,0.052,0.051,0.0,0.103,1281167,0.0,0.0,0.0,159.0,0.5933333333333334,0.478,0.0,1.0713333333333335,1281167,0.001,0.0,0.0,196.0,0.929,0.868,0.0,1.798,1281167,0.008,0.008,0.008,207.0,0.008,0.008,3.276800000000001e-11,0.04,1281167,0.0,0.0,0.0,131.0,0.41904761904761906,0.30714285714285716,0.0,0.7261904761904763,1281167
deit_small_patch16_224.fb_in1k,"deit_s,sup,in1k",TRADES_v2,supervised,fully attention,medium,FFT (50 epochs),964.0,0,0,50.0,10.0,12.0,0.011032727093333333,5.391761904761903,0.42133333333333334,0.375,0.185,316.0,0.724,0.5213333333333333,0.011032727093333333,2.2266666666666666,1281167,0.0,0.0,0.0,135.0,0.061,0.051,0.0,0.11199999999999999,1281167,0.0,0.0,0.0,124.0,0.14,0.112,0.0,0.252,1281167,0.0,0.0,0.0,156.0,0.895,0.803,0.0,1.698,1281167,0.002,0.002,0.0,86.0,0.004,0.007,0.0,0.015,1281167,0.0,0.0,0.0,147.0,0.6309523809523809,0.45714285714285713,0.0,1.088095238095238,1281167
vit_base_patch16_clip_224.laion2b,"vit_b,clip,laion2b",TRADES_v2,self-supervised (multimodal),fully attention,large,FFT (50 epochs),1310.0,0,0,15.0,14.0,13.0,0.006835754554890668,4.898714285714286,0.36933333333333335,0.249,0.144,320.0,0.804,0.642,0.006835517849088001,2.2083333333333335,2320000000,0.002,0.002,0.0,96.0,0.008,0.008,0.0,0.02,2320000000,0.001,0.0013333333333333333,0.001,126.0,0.002,0.004,1.0666666666666667e-14,0.009333333333333332,2320000000,0.024,0.028,0.028,242.0,0.028,0.028,1.4751744000000001e-08,0.136,2320000000,0.004,0.025333333333333333,0.004,315.0,0.828,0.6613333333333333,2.21954048e-07,1.5226666666666666,2320000000,0.05952380952380952,0.0,0.0,211.0,0.5404761904761904,0.4023809523809524,0.0,1.0023809523809524,2320000000
convnext_base.fb_in22k_ft_in1k,"convnext_b,sup,in22k-in1k",TRADES_v2,supervised (multistep),fully convolutional,large,FFT (50 epochs),998.0,0,0,45.0,51.0,14.0,2.28228e-06,4.635571428571428,0.0,0.0,0.0,88.0,0.26,0.233,0.0,0.493,15478289,0.0,0.0,0.0,137.0,0.059,0.054,0.0,0.11299999999999999,15478289,0.0,0.0,0.0,52.0,0.006666666666666667,0.015,0.0,0.021666666666666667,15478289,0.015,0.0,0.0,211.0,0.913,0.819,0.0,1.7469999999999999,15478289,0.044,0.04666666666666667,0.006,353.0,0.494,0.375,2.28228e-06,0.9656666666666667,15478289,0.0,0.0,0.0,157.0,0.6888888888888889,0.6063492063492063,0.0,1.295238095238095,15478289
CLIP-convnext_base_w-laion2B-s13B-b82K,"convnext_b,clip,laion2b",TRADES_v2,self-supervised (multimodal),fully convolutional,large,FFT (50 epochs),1494.0,0,0,6.0,18.0,15.0,0.0011370510563855052,4.634952380952382,0.092,0.092,0.092,134.0,0.092,0.092,6.590815231999999e-06,0.45999999999999996,2320000000,0.0,0.0,0.0,159.0,0.178,0.15866666666666668,0.0,0.33666666666666667,2320000000,0.01,0.010666666666666666,0.009,225.0,0.01,0.009,8.64e-11,0.04866666666666667,2320000000,0.04,0.13466666666666666,0.068,366.0,0.72,0.616,0.00016245841920000003,1.5786666666666669,2320000000,0.032,0.21333333333333335,0.276,395.0,0.8,0.642,0.0009677045760000002,1.9633333333333334,2320000000,0.047619047619047616,0.050793650793650794,0.050793650793650794,215.0,0.050793650793650794,0.047619047619047616,2.9715955350507486e-07,0.24761904761904763,2320000000
convnext_tiny.fb_in22k_ft_in1k,"convnext_t,sup,in22k-in1k",CLASSIC_AT,supervised (multistep),fully convolutional,medium,FFT (50 epochs),984.0,0,0,47.0,2.0,16.0,0.15174947845384598,4.6191587301587305,0.693,0.674,0.543,365.0,0.823,0.727,0.151749478341846,3.46,15478289,0.012,0.009333333333333334,0.01,224.0,0.01,0.01,1.1200000000000001e-10,0.051333333333333335,15478289,0.0,0.0,0.0,92.0,0.018,0.024,0.0,0.041999999999999996,15478289,0.0,0.0,0.0,109.0,0.048,0.047,0.0,0.095,15478289,0.0,0.0,0.0,16.0,0.0013333333333333333,0.006,0.0,0.007333333333333333,15478289,0.004761904761904762,0.0,0.0,178.0,0.5206349206349207,0.4380952380952381,0.0,0.9634920634920635,15478289
robust_resnet50,"resnet50,rob-sup,in1k",TRADES_v2,supervised (robust),fully convolutional,medium,FFT (50 epochs),1739.0,0,0,4.0,22.0,17.0,0.00014009421797226264,4.334523809523809,0.088,0.114,0.122,202.0,0.15,0.137,2.5151227200000004e-05,0.611,1281167,0.0,0.002,0.011,264.0,0.13,0.093,0.0,0.23600000000000002,1281167,0.021333333333333333,0.121,0.246,376.0,0.479,0.345,0.00010493824703999996,1.2123333333333333,1281167,0.0,0.027,0.248,264.0,0.6,0.356,0.0,1.2309999999999999,1281167,0.001,0.016,0.057,317.0,0.246,0.148,3.3204096e-08,0.46799999999999997,1281167,0.03333333333333333,0.09285714285714286,0.12142857142857143,316.0,0.18571428571428572,0.14285714285714285,9.971539636262667e-06,0.5761904761904761,1281167
vit_base_patch16_224.augreg_in1k,"vit_b,sup,in1k",TRADES_v2,supervised,fully attention,large,FFT (50 epochs),1208.0,0,0,27.0,34.0,18.0,1.9905739524e-05,4.174904761904761,0.112,0.114,0.106,195.0,0.114,0.127,1.9594641024e-05,0.573,1281167,0.007,0.004,0.0,230.0,0.051,0.048,0.0,0.10999999999999999,1281167,0.050666666666666665,0.03,0.001,344.0,0.485,0.422,3.1109839999999994e-07,0.9886666666666666,1281167,0.006,0.0,0.0,180.0,0.72,0.617,0.0,1.343,1281167,0.001,0.002,0.002,109.0,0.005,0.005,1.0000000000000002e-13,0.015000000000000003,1281167,0.0,0.0,0.0,150.0,0.6523809523809524,0.4928571428571429,0.0,1.1452380952380952,1281167
