dataset,,,,,,,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset
metric,,,,,,,borda,nan_geom_cnt,nan_sum_cnt,rank_borda,rank_geom,rank_sum,score_geom,score_sum,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data,L1_acc,L2_acc,Linf_acc,borda,clean_acc,common_acc,geom,sum,volume_pre_training_data
backbone,backbone_name,loss_function,pre_training_strategy,model_type,model_size,ft_strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swin_base_patch4_window7_224.ms_in22k_ft_in1k,"swin_b,sup,ink22k-in1k",CLASSIC_AT,supervised (multistep),fully attention,large,FFT (50 epochs),4134.0,0,0,11.0,7.0,9.0,0.9629756471617317,16.77236507936508,0.816,0.84,0.798,676.0,0.936,0.838,0.42903448713215997,4.228,15478289,0.054,0.21,0.217,685.0,0.481,0.412,0.00048765769415999994,1.3739999999999999,15478289,0.524,0.637,0.536,742.0,0.853,0.732,0.111710918137728,3.282,15478289,0.231,0.408,0.277,662.0,0.736,0.604,0.011605575066624001,2.256,15478289,0.10133333333333333,0.232,0.201,636.0,0.509,0.393,0.0009452500389120003,1.4363333333333332,15478289,0.8333333333333334,0.8793650793650793,0.7380952380952381,733.0,0.9428571428571428,0.8023809523809524,0.40919175909214783,4.196031746031746,15478289
robust_convnext_base,"convnext_b,rob-sup,in1k",TRADES_v2,supervised (robust),fully convolutional,large,FFT (50 epochs),4324.0,0,0,8.0,8.0,10.0,0.955159304801535,16.63130158730159,0.748,0.892,0.878,754.0,0.964,0.91,0.51390091905152,4.392,1281167,0.07466666666666667,0.2986666666666667,0.427,772.0,0.655,0.588,0.0036674146850133337,2.0433333333333334,1281167,0.053,0.126,0.108,565.0,0.414,0.34933333333333333,0.00010430629977599998,1.0503333333333333,1281167,0.13,0.5,0.648,759.0,0.878,0.7493333333333333,0.027711365760000002,2.905333333333333,1281167,0.115,0.354,0.371,711.0,0.659,0.5373333333333333,0.00534815775676,2.0363333333333333,1281167,0.6642857142857143,0.8809523809523809,0.8253968253968254,763.0,0.9714285714285714,0.861904761904762,0.4044271412484657,4.203968253968254,1281167
convnext_tiny.fb_in22k_ft_in1k,"convnext_t,sup,in22k-in1k",TRADES_v2,supervised (multistep),fully convolutional,medium,FFT (50 epochs),4117.0,0,0,13.0,9.0,11.0,0.875281189351784,16.489968253968254,0.836,0.871,0.83,737.0,0.95,0.864,0.496066469184,4.351,15478289,0.021,0.028,0.02,597.0,0.503,0.42,2.4844175999999998e-06,0.992,15478289,0.5306666666666666,0.678,0.56,761.0,0.858,0.785,0.1357051952256,3.411666666666667,15478289,0.20266666666666666,0.28,0.248,610.0,0.651,0.52,0.004764050636800001,1.9016666666666668,15478289,0.20266666666666666,0.365,0.33466666666666667,719.0,0.6373333333333333,0.49,0.007731261453274073,2.0296666666666665,15478289,0.7841269841269841,0.7523809523809524,0.5119047619047619,693.0,0.9523809523809523,0.8031746031746032,0.23101172843451004,3.8039682539682538,15478289
convnext_base.fb_in1k,"convnext_b,sup,in1k",TRADES_v2,supervised,fully convolutional,large,FFT (50 epochs),4177.0,0,0,10.0,26.0,12.0,0.6233103656430858,16.42042857142857,0.838,0.871,0.812,735.0,0.958,0.856,0.48602373282444794,4.335,1281167,0.095,0.291,0.305,758.0,0.649,0.586,0.0032067030616499998,1.9259999999999997,1281167,0.532,0.605,0.473,726.0,0.815,0.723,0.08970652916609999,3.1479999999999997,1281167,0.248,0.474,0.472,761.0,0.852,0.726,0.03432007566028799,2.772,1281167,0.126,0.43,0.411,751.0,0.745,0.606,0.0100533249306,2.3179999999999996,1281167,0.10238095238095238,0.009523809523809525,0.0,446.0,0.9523809523809523,0.8571428571428571,0.0,1.9214285714285713,1281167
convnext_base.fb_in22k,"convnext_b,sup,in22k",CLASSIC_AT,supervised,fully convolutional,large,FFT (50 epochs),4232.0,0,0,9.0,13.0,13.0,0.7999355406848929,15.99288888888889,0.844,0.887,0.826,746.0,0.954,0.858,0.506152954603296,4.369,14197122,0.17,0.35733333333333334,0.356,779.0,0.66,0.546,0.007793078092800001,2.0893333333333333,14197122,0.62,0.76,0.68,795.0,0.908,0.844,0.24555144243200006,3.812,14197122,0.26666666666666666,0.48133333333333334,0.4,718.0,0.799,0.644,0.026418448497777778,2.591,14197122,0.183,0.42133333333333334,0.4186666666666667,753.0,0.7186666666666667,0.601,0.013942712344860443,2.3426666666666667,14197122,0.1595238095238095,0.1365079365079365,0.08571428571428572,441.0,0.21904761904761905,0.1880952380952381,7.690471415863613e-05,0.7888888888888889,14197122
coat_tiny.in1k,"coat_t,sup,in1k",TRADES_v2,supervised,hybrid,small,FFT (50 epochs),4008.0,0,0,15.0,32.0,14.0,0.5540538453305391,15.828015873015872,0.758,0.821,0.763,618.0,0.912,0.81,0.35076540850848,4.064,1281167,0.021333333333333333,0.16533333333333333,0.204,682.0,0.572,0.487,0.00020043534062933328,1.4496666666666664,1281167,0.335,0.49,0.343,674.0,0.766,0.624,0.026912148244800004,2.558,1281167,0.1,0.381,0.349,681.0,0.822,0.659,0.0072029041362000005,2.311,1281167,0.039,0.283,0.309,681.0,0.684,0.5573333333333333,0.001300111626528,1.8723333333333332,1281167,0.6253968253968254,0.7047619047619048,0.5238095238095238,672.0,0.9714285714285714,0.7476190476190476,0.16767283747390185,3.573015873015873,1281167
convnext_tiny.fb_in1k,"convnext_t,sup,in1k",TRADES_v2,supervised,fully convolutional,medium,FFT (50 epochs),3839.0,0,0,23.0,23.0,15.0,0.6471098936147027,15.604809523809525,0.822,0.85,0.778,683.0,0.929,0.846,0.4272247627524,4.225,1281167,0.056,0.22266666666666668,0.196,715.0,0.604,0.509,0.0007513703046826667,1.5876666666666668,1281167,0.002,0.0,0.0,357.0,0.868,0.772,0.0,1.642,1281167,0.165,0.43866666666666665,0.37333333333333335,714.0,0.8226666666666667,0.658,0.014627332747377781,2.4576666666666664,1281167,0.117,0.357,0.31466666666666665,717.0,0.692,0.5546666666666666,0.005044788682752,2.035333333333333,1281167,0.7015873015873015,0.7619047619047619,0.580952380952381,653.0,0.8952380952380953,0.7174603174603175,0.1994616391274903,3.6571428571428575,1281167
CLIP-convnext_base_w-laion2B-s13B-b82K,"convnext_b,clip,laion2b",CLASSIC_AT,self-supervised (multimodal),fully convolutional,large,FFT (50 epochs),3962.0,0,0,17.0,14.0,16.0,0.7708017707241699,15.419238095238097,0.784,0.828,0.77,632.0,0.91,0.824,0.3748053044736,4.116,2320000000,0.082,0.178,0.172,655.0,0.342,0.291,0.000249851175264,1.065,2320000000,0.446,0.544,0.475,688.0,0.728,0.62,0.052017615104000006,2.813,2320000000,0.177,0.204,0.188,563.0,0.432,0.3,0.0008797641983999998,1.301,2320000000,0.117,0.354,0.405,715.0,0.659,0.544,0.006013515867840002,2.079,2320000000,0.6904761904761905,0.8571428571428571,0.7571428571428571,709.0,0.9452380952380952,0.7952380952380952,0.3368357199050659,4.045238095238095,2320000000
vit_base_patch16_clip_224.laion2b_ft_in1k,"vit_b,clip,laion2b",TRADES_v2,hybrid,fully attention,large,FFT (50 epochs),3883.0,0,0,21.0,24.0,17.0,0.6422195138577602,15.24073015873016,0.776,0.82,0.774,642.0,0.919,0.832,0.37657837062144,4.1209999999999996,2321281167,0.004,0.079,0.179,587.0,0.499,0.4146666666666667,1.1704147461333334e-05,1.1756666666666666,2321281167,0.173,0.224,0.084,656.0,0.815,0.724,0.0019207444300799999,2.02,2321281167,0.037,0.2613333333333333,0.255,575.0,0.705,0.539,0.0009369460715999999,1.7973333333333334,2321281167,0.066,0.382,0.438,736.0,0.767,0.615,0.005208970389480001,2.2680000000000002,2321281167,0.5857142857142857,0.8095238095238095,0.7333333333333333,687.0,0.9523809523809523,0.7777777777777778,0.25756277819769885,3.858730158730159,2321281167
convnext_base.fb_in22k_ft_in1k,"convnext_b,sup,in22k-in1k",CLASSIC_AT,supervised (multistep),fully convolutional,large,FFT (50 epochs),4027.0,0,0,14.0,5.0,18.0,1.0058086409399987,15.127682539682539,0.842,0.888,0.827,730.0,0.95,0.843,0.4952012665031999,4.35,15478289,0.14,0.316,0.327,751.0,0.599,0.528,0.004575342562560001,1.9100000000000001,15478289,0.014,0.014,0.014,346.0,0.014,0.018,6.91488e-10,0.074,15478289,0.259,0.457,0.409,720.0,0.802,0.656,0.025469327614304003,2.583,15478289,0.15866666666666668,0.321,0.316,694.0,0.6093333333333333,0.4826666666666667,0.00473347466348089,1.8876666666666666,15478289,0.8,0.8920634920634921,0.7880952380952381,786.0,0.9761904761904762,0.8666666666666667,0.4758292289049659,4.323015873015873,15478289
convnext_tiny.fb_in22k,"convnext_t,sup,in22k",TRADES_v2,supervised,fully convolutional,medium,FFT (50 epochs),3969.0,0,0,16.0,28.0,19.0,0.6123707947691618,15.066190476190478,0.805,0.842,0.763,669.0,0.937,0.849,0.41141468656239005,4.196000000000001,14197122,0.105,0.324,0.33066666666666666,756.0,0.628,0.536,0.0037865976422400004,1.9236666666666666,14197122,0.5546666666666666,0.688,0.558,765.0,0.862,0.776,0.142437286477824,3.4386666666666663,14197122,0.172,0.389,0.332,665.0,0.768,0.6333333333333333,0.0108046249984,2.2943333333333333,14197122,0.02666666666666667,0.027,0.022,475.0,0.081,0.064,8.211456000000001e-08,0.22066666666666668,14197122,0.580952380952381,0.4380952380952381,0.22857142857142856,639.0,0.9523809523809523,0.7928571428571428,0.04392751697374771,2.992857142857143,14197122
robust_convnext_tiny,"convnext_t,rob-sup,in1k",TRADES_v2,supervised (robust),fully convolutional,medium,FFT (50 epochs),3722.0,0,0,28.0,17.0,20.0,0.7197944199926392,14.712079365079365,0.5866666666666667,0.844,0.899,705.0,0.967,0.896,0.3856808141073067,4.192666666666667,1281167,0.0026666666666666666,0.012,0.052,482.0,0.288,0.228,1.0926489599999999e-07,0.5826666666666667,1281167,0.264,0.5253333333333333,0.6053333333333333,711.0,0.804,0.703,0.047450943096831996,2.901666666666667,1281167,0.007,0.224,0.592,643.0,0.86,0.7626666666666667,0.0006088369220266668,2.4456666666666664,1281167,0.004,0.015,0.052,447.0,0.334,0.20266666666666666,2.1119488000000005e-07,0.6076666666666667,1281167,0.5047619047619047,0.8357142857142857,0.8595238095238096,734.0,0.9595238095238096,0.8222222222222222,0.2860535054066978,3.981746031746032,1281167
edgenext_small.usi_in1k,"edgenetx_s,sup,in1k",TRADES_v2,supervised,hybrid,small,FFT (50 epochs),3899.0,0,0,20.0,37.0,21.0,0.4955377393328147,14.662857142857144,0.794,0.811,0.7426666666666667,621.0,0.916,0.809,0.35438822518996277,4.072666666666667,1281167,0.036,0.141,0.118,666.0,0.553,0.469,0.00015534654357599997,1.3170000000000002,1281167,0.191,0.288,0.104,641.0,0.768,0.6,0.0026361593855999997,1.951,1281167,0.16,0.3626666666666667,0.264,663.0,0.784,0.638,0.007662461255680002,2.208666666666667,1281167,0.073,0.267,0.216,659.0,0.6133333333333333,0.468,0.00120845447424,1.6373333333333333,1281167,0.7333333333333333,0.7023809523809523,0.3619047619047619,649.0,0.9380952380952381,0.7404761904761905,0.1294870924837559,3.4761904761904763,1281167
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,"convnext_b,hybrid,laion2b-in12k-in1k",TRADES_v2,hybrid,fully convolutional,large,FFT (50 epochs),3936.0,0,0,19.0,29.0,22.0,0.5644827189473028,14.625873015873015,0.812,0.843,0.8026666666666666,670.0,0.92,0.828,0.41854002494976,4.205666666666667,2330281167,0.05466666666666667,0.275,0.374,748.0,0.631,0.54,0.0019157992920000005,1.8746666666666665,2330281167,0.409,0.664,0.604,750.0,0.86,0.779,0.10989153376576,3.316,2330281167,0.059,0.043,0.015,436.0,0.192,0.169,1.2348086399999998e-06,0.478,2330281167,0.16,0.494,0.5493333333333333,781.0,0.78,0.669,0.0226570626048,2.6523333333333334,2330281167,0.4166666666666667,0.4158730158730159,0.2761904761904762,551.0,0.569047619047619,0.42142857142857143,0.011477063526342762,2.0992063492063493,2330281167
CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,"convnext_b,clip,laiona",CLASSIC_AT,self-supervised (multimodal),fully convolutional,large,FFT (50 epochs),3801.0,0,0,24.0,18.0,23.0,0.7169065260352583,14.510619047619048,0.77,0.792,0.7226666666666667,582.0,0.8866666666666667,0.797,0.3114387396736001,3.9683333333333337,900000000,0.038,0.082,0.072,596.0,0.188,0.171,7.212468096e-06,0.551,900000000,0.429,0.5133333333333333,0.43866666666666665,667.0,0.7066666666666667,0.584,0.039867485613511104,2.6716666666666664,900000000,0.15466666666666667,0.208,0.162,559.0,0.447,0.359,0.000836328789504,1.3306666666666667,900000000,0.066,0.324,0.364,685.0,0.6306666666666667,0.5066666666666667,0.0024872104857600005,1.8913333333333333,900000000,0.7333333333333333,0.8666666666666667,0.7595238095238095,712.0,0.9380952380952381,0.8,0.3622695490047871,4.097619047619047,900000000
coatnet_2_rw_224.sw_in12k_ft_in1k,"coatnet_2,sup,in12k-in1k",CLASSIC_AT,supervised (multistep),hybrid,large,FFT (50 epochs),3849.0,0,0,22.0,16.0,24.0,0.7303334366918799,14.404333333333332,0.782,0.852,0.819,700.0,0.951,0.851,0.4416114514790159,4.255,10281167,0.004,0.031,0.142,532.0,0.335,0.25,1.47467e-06,0.762,10281167,0.17,0.156,0.098,557.0,0.349,0.28,0.00025397037120000006,1.053,10281167,0.178,0.407,0.391,680.0,0.779,0.626,0.013813475438443999,2.381,10281167,0.044,0.318,0.418,705.0,0.71,0.58,0.0024084765407999995,2.07,10281167,0.65,0.8142857142857143,0.7071428571428572,675.0,0.9285714285714286,0.7833333333333333,0.27224458819241987,3.8833333333333333,10281167
convnext_base.fb_in1k,"convnext_b,sup,in1k",CLASSIC_AT,supervised,fully convolutional,large,FFT (50 epochs),3746.0,0,0,26.0,30.0,25.0,0.5639284005854399,14.390857142857145,0.825,0.86,0.812,698.0,0.94,0.835,0.45219187859999993,4.272,1281167,0.086,0.26,0.269,719.0,0.555,0.47733333333333333,0.0015934514128,1.6473333333333335,1281167,0.53,0.5826666666666667,0.48133333333333334,709.0,0.7666666666666667,0.672,0.07658043625244446,3.032666666666667,1281167,0.252,0.477,0.404,741.0,0.822,0.695,0.02774322263664,2.65,1281167,0.20133333333333334,0.332,0.29333333333333333,700.0,0.636,0.4666666666666667,0.005819411683555557,1.9293333333333336,1281167,0.0,0.0,0.0,179.0,0.48095238095238096,0.37857142857142856,0.0,0.8595238095238096,1281167
convnext_tiny.fb_in1k,"convnext_t,sup,in1k",CLASSIC_AT,supervised,fully convolutional,medium,FFT (50 epochs),3610.0,0,0,32.0,11.0,26.0,0.821062475665366,14.190666666666667,0.809,0.838,0.769,658.0,0.925,0.8266666666666667,0.39864933033733346,4.167666666666667,1281167,0.112,0.189,0.15,673.0,0.42,0.356,0.000474755904,1.2269999999999999,1281167,0.432,0.411,0.25733333333333336,648.0,0.616,0.53,0.014916886871040003,2.2463333333333333,1281167,0.182,0.391,0.336,684.0,0.806,0.632,0.012179782777344004,2.347,1281167,0.006666666666666667,0.008,0.006666666666666667,212.0,0.006666666666666667,0.008,1.8962962962962968e-11,0.036000000000000004,1281167,0.7841269841269841,0.873015873015873,0.75,735.0,0.95,0.8095238095238095,0.3948417197566857,4.166666666666666,1281167
robust_convnext_base,"convnext_b,rob-sup,in1k",CLASSIC_AT,supervised (robust),fully convolutional,large,FFT (50 epochs),3953.0,0,0,18.0,31.0,27.0,0.56248997231947,13.771698412698411,0.736,0.872,0.8786666666666667,739.0,0.9573333333333334,0.9,0.4858745380864001,4.344,1281167,0.04,0.202,0.335,711.0,0.563,0.482,0.0007345334888,1.6219999999999999,1281167,0.382,0.519,0.47733333333333333,675.0,0.7133333333333334,0.603,0.040706364281279994,2.6946666666666665,1281167,0.162,0.529,0.618,761.0,0.856,0.747,0.03386519090524801,2.912,1281167,0.097,0.254,0.244,644.0,0.518,0.4066666666666667,0.0012663787457066669,1.5196666666666667,1281167,0.10476190476190476,0.1619047619047619,0.12142857142857143,423.0,0.16428571428571428,0.12698412698412698,4.2966812035255744e-05,0.6793650793650793,1281167
coatnet_2_rw_224.sw_in12k,"coatnet_2,sup,in12k",CLASSIC_AT,supervised,hybrid,large,FFT (50 epochs),3756.0,0,0,25.0,20.0,28.0,0.6634652082600514,13.656476190476189,0.832,0.865,0.82,732.0,0.95,0.871,0.4883093571199999,4.337999999999999,9000000,0.002,0.048,0.118,515.0,0.314,0.227,8.074371840000001e-07,0.709,9000000,0.332,0.405,0.366,651.0,0.692,0.58,0.019751872809600005,2.375,9000000,0.07066666666666667,0.10666666666666667,0.08533333333333333,510.0,0.23733333333333334,0.188,2.869978402765432e-05,0.688,9000000,0.07333333333333333,0.32266666666666666,0.426,716.0,0.698,0.5693333333333334,0.004005780628764444,2.0893333333333333,9000000,0.6095238095238096,0.6761904761904762,0.6095238095238096,632.0,0.8666666666666667,0.6952380952380952,0.1513686904804754,3.4571428571428573,9000000
robust_deit_small_patch16_224,"deit_s,rob-sup,in1k",TRADES_v2,supervised (robust),fully attention,medium,FFT (50 epochs),3693.0,0,0,29.0,41.0,29.0,0.43031620380354485,13.210857142857144,0.692,0.834,0.8346666666666667,689.0,0.9546666666666667,0.864,0.39732941360332796,4.179333333333333,1281167,0.022,0.219,0.3253333333333333,720.0,0.6213333333333333,0.566,0.0005512345663146665,1.7536666666666667,1281167,0.19466666666666665,0.524,0.5333333333333333,692.0,0.7706666666666667,0.687,0.028803477185422227,2.709666666666667,1281167,0.033,0.328,0.51,693.0,0.839,0.727,0.0033670869487200006,2.437,1281167,0.012,0.179,0.323,652.0,0.676,0.565,0.00026499149976,1.7550000000000001,1281167,0.0,0.023809523809523808,0.01904761904761905,247.0,0.18333333333333332,0.15,0.0,0.3761904761904762,1281167
