dataset,,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,caltech101,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,flowers-102,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,stanford_cars,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset,TOTAL,TOTAL,TOTAL,TOTAL
metric,,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,L1_acc,L2_acc,Linf_acc,clean_acc,common_acc,geom,model_size,sum,score_sum,score_geom,nan_sum_cnt,nan_geom_cnt
backbone,loss_function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swin_base_patch4_window7_224.ms_in22k_ft_in1k,CLASSIC_AT,0.724,0.673,0.502,0.858,0.746,0.156560955394272,2,3.5029999999999997,0.009,0.009,0.007,0.01,0.01,5.6699999999999995e-11,2,0.045000000000000005,0.0,0.0,0.0,0.006,0.012,0.0,2,0.018000000000000002,0.028,0.028,0.028,0.028,0.028,1.7210368e-08,2,0.14,0.006666666666666667,0.008,0.009333333333333334,0.009333333333333334,0.008,3.7167407407407424e-11,2,0.04133333333333333,0.009523809523809525,0.0,0.0,0.0761904761904762,0.0880952380952381,0.0,2,0.1738095238095238,3.9211428571428564,0.1565609726985074,0,0
convnext_base.fb_in22k,TRADES_v2,0.202,0.215,0.206,0.273,0.24,0.0005861799216,2,1.136,0.0,0.0,0.0,0.424,0.398,0.0,2,0.8220000000000001,,,,,,,2,,0.0,0.0,0.0,0.856,0.791,0.0,2,1.647,0.0,0.0,0.0,0.072,0.057,0.0,2,0.129,0.0,0.0,0.0,0.047619047619047616,0.03571428571428571,0.0,2,0.08333333333333333,3.8173333333333335,0.0005861799216,1,1
robust_convnext_base,TRADES_v2,0.208,0.30933333333333335,0.3626666666666667,0.6973333333333334,0.5973333333333334,0.00971974504336751,2,2.174666666666667,0.0,0.002,0.002,0.008,0.008,0.0,2,0.02,0.018,0.018,0.018,0.018,0.017333333333333333,1.8195839999999992e-09,2,0.08933333333333332,,,,,,,2,,0.005333333333333333,0.008,0.007,0.007,0.008,1.6725333333333334e-11,2,0.03533333333333333,0.01904761904761905,0.06031746031746032,0.09523809523809523,0.3904761904761905,0.33015873015873015,1.4106256867246374e-05,2,0.8952380952380952,3.214571428571429,0.00973385313654409,1,1
robust_vit_base_patch16_224,TRADES_v2,0.23466666666666666,0.252,0.212,0.348,0.304,0.0013262965309439997,2,1.3506666666666667,0.0026666666666666666,0.004,0.003,0.052,0.051,8.486399999999999e-11,2,0.11266666666666666,0.0,0.0,0.0,0.016,0.011,0.0,2,0.027,0.006,0.051,0.028,0.607,0.511,2.657596536e-06,2,1.203,0.008,0.008,0.008,0.008,0.008,3.276800000000001e-11,2,0.04,0.0,0.009523809523809525,0.023809523809523808,0.04523809523809524,0.04523809523809524,0.0,2,0.12380952380952381,2.857142857142857,0.0013289542451119995,0,0
vit_base_patch16_224.augreg_in1k,CLASSIC_AT,0.336,0.351,0.277,0.52,0.403,0.0068459630803200016,2,1.8870000000000002,0.01,0.01,0.008,0.008,0.012,7.680000000000001e-11,2,0.048,0.03,0.036,0.02,0.056,0.049,5.92704e-08,2,0.191,0.0,0.0,0.0,0.011,0.012,0.0,2,0.023,0.012,0.01,0.008,0.012,0.010666666666666666,1.2288000000000002e-10,2,0.05266666666666666,0.10238095238095238,0.10714285714285714,0.10476190476190476,0.10952380952380952,0.09047619047619047,1.1387506087631036e-05,2,0.5142857142857143,2.7159523809523813,0.006857410056487633,0,0
convnext_base.fb_in1k,CLASSIC_AT,0.0013333333333333333,0.0,0.0,0.515,0.473,0.0,2,0.9893333333333333,0.010666666666666666,0.008,0.010666666666666666,0.010666666666666666,0.01,9.709037037037037e-11,2,0.05,0.0,0.0,0.0,0.2,0.16933333333333334,0.0,2,0.36933333333333335,0.003,0.0,0.0,0.634,0.611,0.0,2,1.248,0.008,0.008,0.006666666666666667,0.006666666666666667,0.008,2.2755555555555564e-11,2,0.037333333333333336,,,,,,,2,,2.6939999999999995,1.1984592592592594e-10,1,1
vit_base_patch16_clip_224.laion2b_ft_in1k,CLASSIC_AT,0.092,0.092,0.092,0.092,0.092,6.590815231999999e-06,2,0.45999999999999996,0.0,0.0,0.0,0.062,0.074,0.0,2,0.136,0.017,0.017333333333333333,0.018,0.022,0.021,2.4504479999999997e-09,2,0.09533333333333334,0.0,0.0,0.0,0.763,0.72,0.0,2,1.483,0.009333333333333334,0.008,0.008,0.008,0.008,3.822933333333334e-11,2,0.04133333333333333,0.009523809523809525,0.0,0.0,0.16666666666666666,0.1111111111111111,0.0,2,0.2873015873015873,2.5029682539682536,6.593303909333333e-06,0,0
vit_base_patch16_224.augreg_in21k_ft_in1k,CLASSIC_AT,0.0,0.009,0.002,0.709,0.575,0.0,2,1.295,0.0,0.0,0.0,0.01,0.018,0.0,2,0.027999999999999997,0.0,0.001,0.011,0.018,0.02,0.0,2,0.05,0.0,0.0,0.0,0.043,0.035,0.0,2,0.078,0.003,0.004,0.004,0.004,0.008,1.5360000000000001e-12,2,0.023,0.0,0.0,0.0,0.48333333333333334,0.36904761904761907,0.0,2,0.8523809523809525,2.326380952380952,1.5360000000000001e-12,0,0
vit_base_patch16_clip_224.laion2b_ft_in1k,TRADES_v2,0.092,0.092,0.093,0.093,0.095,6.95448792e-06,2,0.46499999999999997,0.0,0.0,0.0,0.173,0.156,0.0,2,0.32899999999999996,0.005,0.005,0.005,0.006,0.006,4.500000000000001e-12,2,0.027000000000000003,0.027,0.028,0.027,0.027,0.027,1.4880348e-08,2,0.136,0.0,0.0,0.0,0.63,0.486,0.0,2,1.116,0.05238095238095238,0.06031746031746032,0.03333333333333333,0.09523809523809523,,1.0030114338504362e-05,2,0.24126984126984127,2.3142698412698413,1.699948710650436e-05,0,0
convnext_base.fb_in22k,CLASSIC_AT,0.014,0.0,0.0,0.832,0.789,0.0,2,1.635,0.0,0.0,0.0,0.01,0.01,0.0,2,0.02,,,,,,,2,,0.028,0.022,0.028,0.028,0.028,1.3522432e-08,2,0.134,0.009333333333333334,0.006,0.008,0.008,0.008,2.8672000000000004e-11,2,0.03933333333333333,0.050793650793650794,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,2.6117538882281957e-07,2,0.24126984126984125,2.069603174603175,2.7472649282281956e-07,1,1
eva02_base_patch14_224.mim_in22k,CLASSIC_AT,0.097,0.128,0.133,0.143,0.135,3.187888704000001e-05,2,0.636,0.003,0.008,0.005,0.01,0.01,1.2000000000000002e-11,2,0.036,0.004,0.004,0.004,0.004,0.0013333333333333333,3.4133333333333336e-13,2,0.017333333333333333,0.001,0.0,0.0,0.5106666666666667,0.48933333333333334,0.0,2,1.0010000000000001,0.008,0.008,0.009333333333333334,0.009333333333333334,0.008,4.46008888888889e-11,2,0.042666666666666665,0.04126984126984127,0.044444444444444446,0.06666666666666667,0.06666666666666667,0.047619047619047616,3.8819368625365097e-07,2,0.26666666666666666,1.9996666666666667,3.226713766847588e-05,0,0
vit_base_patch16_224.mae,CLASSIC_AT,0.0,0.044,0.29,0.391,0.335,0.0,2,1.06,0.0,0.0,0.005,0.016,0.02,0.0,2,0.041,0.011,0.004,0.011,0.011,0.011,5.856399999999999e-11,2,0.048,0.0,0.0,0.0,0.032,0.03,0.0,2,0.062,0.0,0.0,0.001,0.005,0.008,0.0,2,0.014,0.0,0.02857142857142857,0.04047619047619048,0.12142857142857143,0.11190476190476191,0.0,2,0.3023809523809524,1.5273809523809525,5.856399999999999e-11,0,0
robust_vit_base_patch16_224,CLASSIC_AT,0.127,0.139,0.137,0.145,0.136,4.769205092000001e-05,2,0.684,0.001,0.004,0.0013333333333333333,0.012,0.008,5.120000000000001e-13,2,0.026333333333333334,0.002,0.0026666666666666666,0.0,0.088,0.072,0.0,2,0.16466666666666666,0.0,0.0,0.0,0.15066666666666667,0.131,0.0,2,0.2816666666666667,0.004,0.008,0.008,0.008,0.01,2.0480000000000003e-11,2,0.038,0.0380952380952381,0.047619047619047616,0.04285714285714286,0.047619047619047616,0.047619047619047616,1.7629338745540327e-07,2,0.22380952380952382,1.4184761904761907,4.7868365299455415e-05,0,0
coatnet_2_rw_224.sw_in12k,TRADES_v2,,,,,,,2,,0.0,0.0,0.0,0.01,0.010666666666666666,0.0,2,0.020666666666666667,0.0,0.0,0.0,0.288,0.204,0.0,2,0.492,0.0,0.0,0.0,0.196,0.134,0.0,2,0.33,0.0,0.0,0.0,0.141,0.10933333333333334,0.0,2,0.2503333333333333,0.0,0.0,0.0,0.05,0.05,0.0,2,0.1,1.193,0.0,1,1
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,TRADES_v2,0.092,0.08533333333333333,0.114,0.114,0.092,9.386508288e-06,2,0.4973333333333333,0.008,0.013333333333333334,0.012,0.03333333333333333,0.031,1.3226666666666669e-09,2,0.09766666666666668,0.025333333333333333,0.024,0.02266666666666667,0.04133333333333333,0.03333333333333333,1.8987614814814812e-08,2,0.14666666666666667,,,,,,,2,,0.013333333333333334,0.017,0.006,0.058,0.046,3.6284800000000007e-09,2,0.14033333333333334,0.03333333333333333,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,1.7139634891497537e-07,2,0.2238095238095238,1.1058095238095238,9.581843398396456e-06,1,1
CLIP-convnext_base_w-laion2B-s13B-b82K,CLASSIC_AT,0.092,0.092,0.092,0.092,0.092,6.590815231999999e-06,2,0.45999999999999996,0.01,0.01,0.01,0.01,0.024,2.4000000000000005e-10,2,0.064,0.004,0.005333333333333333,0.004,0.004,0.004,1.3653333333333334e-12,2,0.021333333333333333,0.027,0.032,0.027,0.027,0.027,1.7006112e-08,2,0.13999999999999999,0.012,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.009333333333333334,3.31851851851852e-11,2,0.04133333333333333,0.047619047619047616,0.04047619047619048,0.047619047619047616,0.047619047619047616,0.0380952380952381,1.6649931037454754e-07,2,0.22142857142857142,0.9480952380952381,6.774595204893065e-06,0,0
coatnet_2_rw_224.sw_in12k_ft_in1k,CLASSIC_AT,0.092,0.112,0.089,0.092,0.092,7.761961983999999e-06,2,0.477,0.001,0.008,0.0026666666666666666,0.008,0.01,1.706666666666667e-12,2,0.029666666666666668,0.0,0.0,0.0,0.016,0.012,0.0,2,0.028,0.028,0.032,0.028,0.028,0.029333333333333333,2.060561066666667e-08,2,0.14533333333333331,0.009333333333333334,0.006,0.006,0.012,0.008,3.2256000000000005e-11,2,0.04133333333333333,0.050793650793650794,0.030952380952380953,0.0031746031746031746,0.06666666666666667,0.05714285714285714,1.9013568306301274e-08,2,0.20873015873015874,0.930063492063492,7.801615125639634e-06,0,0
