loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
5.188013394673665,1734552461,,False,1,75f3d_00001,2024-12-18_15-07-41,14.509698390960693,14.509698390960693,57378,mheuillet-dev-linux-02,192.168.1.49,14.509698390960693,1
5.06650988260905,1734552469,,False,2,75f3d_00001,2024-12-18_15-07-49,8.664230346679688,23.17392873764038,57378,mheuillet-dev-linux-02,192.168.1.49,23.17392873764038,2
4.822525978088379,1734552478,,False,3,75f3d_00001,2024-12-18_15-07-58,8.757269144058228,31.93119788169861,57378,mheuillet-dev-linux-02,192.168.1.49,31.93119788169861,3
4.614681243896484,1734552487,,False,4,75f3d_00001,2024-12-18_15-08-07,8.632368087768555,40.56356596946716,57378,mheuillet-dev-linux-02,192.168.1.49,40.56356596946716,4
4.921360969543457,1734552496,,False,5,75f3d_00001,2024-12-18_15-08-16,8.780327558517456,49.34389352798462,57378,mheuillet-dev-linux-02,192.168.1.49,49.34389352798462,5
4.5571333567301435,1734552504,,False,6,75f3d_00001,2024-12-18_15-08-24,8.70075249671936,58.04464602470398,57378,mheuillet-dev-linux-02,192.168.1.49,58.04464602470398,6
5.157650947570801,1734552513,,False,7,75f3d_00001,2024-12-18_15-08-33,8.844353914260864,66.88899993896484,57378,mheuillet-dev-linux-02,192.168.1.49,66.88899993896484,7
4.848314921061198,1734552522,,False,8,75f3d_00001,2024-12-18_15-08-42,8.771758556365967,75.66075849533081,57378,mheuillet-dev-linux-02,192.168.1.49,75.66075849533081,8
5.106310526529948,1734552531,,False,9,75f3d_00001,2024-12-18_15-08-51,8.92236328125,84.58312177658081,57378,mheuillet-dev-linux-02,192.168.1.49,84.58312177658081,9
4.728515625,1734552540,,False,10,75f3d_00001,2024-12-18_15-09-00,8.715548515319824,93.29867029190063,57378,mheuillet-dev-linux-02,192.168.1.49,93.29867029190063,10
