arch,pre_trained,lora,dataset,pruning_strategy,pruning_ratio,batch_strategy,aug,iterations,delta,batch_size,sample_size,loss_function,init_lr,sched,momentum,weight_decay,seed,log_dir,statedict_dir,data_dir,task,num_workers,epsilon,step_size,perturb_steps,beta,distance,unsup_fraction,exp,timestamp,clean_acc,robust_acc,id
convnext5,,,CIFAR10,random,0,random,,10,1,64,64,TRADES_v2,,sched,0.9,0.0001,0,./logs,./state_dicts,./data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,,24/10/26/17/55/35,0.5,0.7,61f895df5eabcfe35655d4c97e6dbc8c
convnext2,,,CIFAR10,random,0,random,,10,1,64,64,TRADES_v2,,sched,0.9,0.0001,0,./logs,./state_dicts,./data,train,1,0.01568627450980392,0.00784313725490196,10,1.0,l_inf,0.3,,24/10/26/17/56/13,0.5,0.7,5853d7e08b435e3e80989da603d2ba93
