dataset,,,Aircraft,Aircraft,Aircraft,Aircraft,CIFAR10,CIFAR10,CIFAR10,CIFAR10,CIFAR100,CIFAR100,CIFAR100,CIFAR100,EuroSAT,EuroSAT,EuroSAT,EuroSAT,Flowers,Flowers,Flowers,Flowers
,,,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant
backbone,loss_function,init_lr,,,,,,,,,,,,,,,,,,,,
convnext_tiny.fb_in22k,APGD,0.001,0.0098920863309352,0.0098920863309352,0.4182939076099085,0.4182939076099085,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0180429128738621,0.0162548764629388,0.2830209727800089,0.2830209727800089
convnext_tiny.fb_in22k,TRADES_v2,0.0001,0.033872901678657,0.0104916067146282,0.1289890649408614,0.1289890649408614,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.6976592977893368,0.1178478543563068,0.1130354752342704,0.1273705934850513
convnext_tiny.fb_in22k,TRADES_v2,0.0005,0.0098920863309352,0.0098920863309352,0.3535483151082347,0.3535483151082347,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
convnext_tiny.fb_in22k,TRADES_v2,0.001,0.0098920863309352,0.0098920863309352,0.3896451684891765,0.3896451684891765,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
deit_small_patch16_224.fb_in1k,APGD,0.0001,0.0122901678657074,0.0053956834532374,0.6183697800419755,0.6183697800419755,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0118660598179453,0.0003250975292587,0.5935567354142418,0.593369812262942
deit_small_patch16_224.fb_in1k,APGD,0.0005,0.0134892086330935,0.0128896882494004,0.6082269399990307,0.6082269399990307,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0165799739921976,0.0104031209362808,0.6116114495249355,0.6116114495249355
deit_small_patch16_224.fb_in1k,APGD,0.001,0.0179856115107913,0.0146882494004796,0.6195135027760955,0.6195135027760955,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0177178153446033,0.0032509752925877,0.5925210238823471,0.5925210238823471
deit_small_patch16_224.fb_in1k,TRADES_v2,0.0001,0.1774580335731415,0.0506594724220623,0.602300841273719,0.602300841273719,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.4457087126137841,0.1087451235370611,0.578680479825518,0.5928830899568813
deit_small_patch16_224.fb_in1k,TRADES_v2,0.0005,0.0965227817745803,0.0443645083932853,0.6031894072652876,0.6031894072652876,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.5097529258777633,0.2539011703511053,0.5781115407069606,0.5779987258994893
deit_small_patch16_224.fb_in1k,TRADES_v2,0.001,0.0278776978417266,0.0224820143884892,0.6184450205300357,0.6184450205300357,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.2000975292587776,0.0864759427828348,0.5794263977470084,0.5785906441122726
robust_convnext_base,APGD,0.0001,0.0221822541966426,0.0212829736211031,0.1273982218062704,0.1273982218062704,,,,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0895643693107932,0.069408322496749,0.1421603032004491,0.1421603032004491
robust_convnext_base,APGD,0.0005,0.0098920863309352,0.0098920863309352,0.4058493214787084,0.4058493214787084,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.077373211963589,0.0687581274382314,0.1282870110424855,0.1282870110424855
robust_convnext_base,APGD,0.001,0.0101918465227817,0.0101918465227817,0.4005966307908282,0.4005966307908282,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.1097204161248374,0.0853381014304291,0.1058277185102002,0.1058277185102002
robust_convnext_base,TRADES_v2,0.0001,0.0119904076738609,0.0116906474820143,0.1364178755264389,0.1364178755264389,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0447009102730819,0.0261703511053316,0.110693898558862,0.110693898558862
robust_convnext_base,TRADES_v2,0.0005,0.0098920863309352,0.0098920863309352,0.4089845577912962,0.4089845577912962,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
robust_convnext_base,TRADES_v2,0.001,0.0098920863309352,0.0098920863309352,0.4021759475900796,0.4021759475900796,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0105656697009102,0.0105656697009102,0.4090047725996631,0.4090047725996631
