,dataset,backbone,loss_function,PairwiseDistance_Mean,PairwiseDistance_Median,PairwiseDistance_25%,PairwiseDistance_75%,PairwiseDistance_Std,std_dev_25%,std_dev_Mean,std_dev_Median,std_dev_75%,std_dev_Std,mean_abs_change_25%,mean_abs_change_Mean,mean_abs_change_Median,mean_abs_change_75%,mean_abs_change_Std
36,caltech101,deit_small_patch16_224.fb_in1k,TRADES_v2,3.99924313658004,3.216490318426533,1.8458694551684027,4.327003810890213,3.698325206548306,1.1534822467064947,2.2371977847633233,2.101636113603352,2.3882258880826917,1.6165726384214483,0.7558473293597882,1.2412922017085248,1.1166111872746396,1.322441159761869,0.894063367124143
37,fgvc-aircraft-2013b,deit_small_patch16_224.fb_in1k,TRADES_v2,5.76899951937242,5.818975709279865,3.6901905293367356,7.955825494260203,4.011237927138864,2.124131081755247,2.6300899718001243,2.3673184034133485,2.608953784280107,1.6391492970837775,1.1687936038673281,1.4111791037403543,1.2071311923206784,1.3305624862249588,0.9230697523158499
38,flowers-102,deit_small_patch16_224.fb_in1k,TRADES_v2,4.415909466975705,4.717617847620893,1.2065254959405634,6.710024277017241,2.8201514691353227,2.1303068946669415,2.249904508440408,2.347347297942553,2.5420385587279877,0.8317811030668385,1.143920778760723,1.1961381282900792,1.1932410146675858,1.2940195121017157,0.4592496853443291
39,oxford-iiit-pet,deit_small_patch16_224.fb_in1k,TRADES_v2,3.248137661585852,3.3862278031326314,1.6052699099613235,3.905600242595481,2.203074264929996,1.1535116758524084,1.7684992541156699,1.7868030469226046,2.012337347857548,1.0073382964706823,0.7542520605999491,0.966728643827918,0.9321151954540308,1.0506247921266418,0.5519292579084543
40,stanford_cars,deit_small_patch16_224.fb_in1k,CLASSIC_AT,8.150377739086782,7.499926384440682,5.27773588333825,10.588485834895078,6.769882901613542,2.390442367658119,3.240517784453623,2.457771948127842,2.92462417619673,2.87267001625048,1.3362979075947745,1.761113059563868,1.3490635606109118,1.415874743852459,1.6141446509061046
41,caltech101,deit_small_patch16_224.fb_in1k,CLASSIC_AT,5.027000022682233,3.381057479387884,2.0068202456186013,4.3410919567635,5.793081403017487,1.2893397322980795,2.419085746929993,2.038297238615439,2.3347015451659847,2.312085698911029,0.8710113231952374,1.3185714868398812,1.0824311476487378,1.1579823127159705,1.2888698842257063
42,fgvc-aircraft-2013b,deit_small_patch16_224.fb_in1k,CLASSIC_AT,6.12663580074963,5.84777048674491,3.2815594987995196,8.595185805835108,4.437763935794578,2.10979756809114,2.591599774970148,2.44141670265766,2.5748004849178523,1.8279092598662956,1.1720592778126877,1.385052867175516,1.1884123766694177,1.3033505882821879,1.027472813227134
43,dtd,deit_small_patch16_224.fb_in1k,CLASSIC_AT,4.088867555359172,4.0724819566273895,1.4907819382687832,5.825405501394444,2.7621461464577557,1.7130033911850862,1.9673419140917192,1.9100497263427743,2.1446205454752407,1.0512987568792425,0.9602541659740692,1.0549625919746513,1.0135709721991357,1.084803155127992,0.5840786303781871
44,flowers-102,deit_small_patch16_224.fb_in1k,CLASSIC_AT,5.635077397499238,5.021156293919413,2.201740579044117,7.989816274651611,4.589880853591965,2.1627083434574033,2.514528629010827,2.4261772147056306,2.604328695356922,1.690408378158501,1.1818413827933516,1.3485035149509677,1.21965607287837,1.3130700803270527,0.9447106092274333
45,stanford_cars,robust_deit_small_patch16_224,TRADES_v2,6.350445215406414,6.419420875642384,4.015080274479326,8.503475102647458,4.449578529738176,2.391697091297655,3.0264848118180123,2.7007170252407375,2.917843636488918,1.8481442382953162,1.3203874681816727,1.6163320072361682,1.338831066694416,1.378111367147477,1.041545877145496
46,caltech101,robust_deit_small_patch16_224,TRADES_v2,3.8604480935416188,3.05914969754623,1.4457461986848177,4.142192318909248,4.0234340713880306,1.1044166358309162,2.1160672361736568,2.04777664802675,2.2957068516388808,1.6816961126850754,0.6882448049692007,1.170911890811905,1.114663344163161,1.236037855881911,0.9312169366707269
47,fgvc-aircraft-2013b,robust_deit_small_patch16_224,TRADES_v2,5.578081837977833,5.3795397553552675,3.0953117086678414,8.228928892302717,3.5299633676143274,2.1143067854733566,2.3391280940742583,2.35548063240331,2.583018943257317,1.4838442313741649,1.1588600039625225,1.2467467038084765,1.1947516799688627,1.3105322207007803,0.8254332698014478
48,flowers-102,robust_deit_small_patch16_224,TRADES_v2,3.9262661343343614,4.690253786823098,0.6550312556598793,5.9697145087157235,2.5916968854225164,1.991872986004386,2.093564791680339,2.2727052987820953,2.516445123045373,0.6945962677381484,1.1277878705193016,1.1222301175219735,1.1951670927159928,1.278523344152114,0.3630655181696786
49,oxford-iiit-pet,robust_deit_small_patch16_224,TRADES_v2,2.4671855953305557,2.912168213990626,0.7531844429347823,3.4376855894522143,1.60115395705088,1.4435509784846545,1.6224609862352535,1.7194011330351877,1.8755830080532465,0.6775032073936145,0.7624167981355087,0.8851213762341682,0.9258505779763926,0.993402121723562,0.3624424850414537
50,stanford_cars,robust_deit_small_patch16_224,CLASSIC_AT,6.961003636821244,5.410015989573231,0.8129214427510245,9.166537982342511,6.631125818331541,2.402468249387776,3.3394987221222823,2.495057765932089,2.925471712850825,2.557909983819385,1.3351867175493086,1.8014903814482195,1.346597840356045,1.4630342077036373,1.4450833316599274
51,caltech101,robust_deit_small_patch16_224,CLASSIC_AT,5.302966953024151,3.7772097218495206,2.792962248374998,4.928080615829572,6.037312574709998,0.8666428264408671,2.1884490707360564,1.9949408766166872,2.2650536511581323,2.4011059270614847,0.5384635998652532,1.2082374152603683,1.084905536358173,1.1324498983529898,1.330409954082232
52,fgvc-aircraft-2013b,robust_deit_small_patch16_224,CLASSIC_AT,6.374066071825067,6.535686292642726,4.280281424093075,9.048863431089961,4.676461207174499,2.0784645504094854,2.5977315136720893,2.2145016466970473,2.577696520463235,1.9670692053325018,1.1694799379712824,1.4007769855989272,1.1909836932820004,1.2647899247589662,1.104178372172441
53,dtd,robust_deit_small_patch16_224,CLASSIC_AT,3.8936137089095957,3.992343672550426,1.2017437874002663,5.871406123263288,2.515372115122151,1.6595607839732631,1.8259034425125318,1.8939856537953912,2.120860575385273,0.9094816048491904,0.9557572385098072,0.9819701849591814,0.9967221523853058,1.0687550646193484,0.4973070268514696
54,flowers-102,robust_deit_small_patch16_224,CLASSIC_AT,4.655704496947088,4.809239542250677,1.2969438141467526,6.9532517005393455,3.096138602542262,2.112966319115451,2.2795760735023016,2.277843750796108,2.5712929869137717,1.057882256400395,1.1573096181832108,1.2172486836836787,1.2088121601179533,1.273210413315717,0.5798270201094915
55,stanford_cars,convnext_base,TRADES_v2,10.09821684967228,6.441062103549991,4.810152033355733,9.52290759477459,9.634689378326835,0.7328619607236512,3.0919328235148367,2.386269428939223,2.636104380533055,4.135278678302506,0.44639567390817103,1.700523333793206,1.2481702460617317,1.343232702036373,2.3136818783996613
56,caltech101,convnext_base,TRADES_v2,5.741268373397309,3.122440044696514,1.7009385546976594,4.693330534764208,9.0931497919319,0.4395861529884519,1.9991001071094232,1.2816741237278793,2.1423440772245215,3.3002488631032283,0.2599762219649095,1.1105159039263959,0.6781865046574519,1.1976067469670222,1.8447246726375177
57,fgvc-aircraft-2013b,convnext_base,TRADES_v2,13.742191963760225,8.479572685815665,4.732123826443989,22.92099339735894,12.549606612599945,1.2844386340498035,4.578519892485637,2.5087583107078464,4.452289158248552,5.747253546315754,0.7233792931234995,2.511795855249862,1.2020704766281514,2.4889053033322703,3.230492602906311
58,dtd,convnext_base,TRADES_v2,4.701676907240039,4.099411604734939,2.549215321989765,5.493897660373222,3.4163731967875353,1.845020037163664,2.532335567766064,2.1543971587029187,2.490275895952553,1.5645976063814089,0.9168452810733876,1.3815835255909834,1.0364491888817322,1.3955158477133893,0.8821998577184843
59,flowers-102,convnext_base,TRADES_v2,3.386559818365767,3.7191289118628212,1.5177160970608912,4.554701917031121,2.083556152140492,1.9339698521097373,2.2257482534322675,2.280820270400023,2.5283967005187393,0.7866890083266441,0.966007786171109,1.2354337563679445,1.1712146235447303,1.3992430443857231,0.5498131382881142
60,oxford-iiit-pet,convnext_base,TRADES_v2,4.144998020648846,3.5126626655670194,2.333132229398417,6.133377296337183,2.833957398817814,1.350468566188397,2.094014494486116,1.8487532447430417,2.1171123005038344,1.422998669760372,0.7218936975451483,1.1437046683736853,0.9270661395529042,1.183501754981884,0.7987730002299187
61,stanford_cars,convnext_base,CLASSIC_AT,11.401955617423157,7.496143250921498,5.387019323130123,10.593245491142953,11.7386305592338,0.6893269053080342,3.0681765731238726,2.391899816375413,2.6840692656150282,4.656746328018469,0.35044518142450043,1.6494556793284363,1.302734024798284,1.3454809970543034,2.6103812863580043
62,caltech101,convnext_base,CLASSIC_AT,4.413140716987207,2.911073688042461,1.5177889310396635,4.267385629507212,5.994293882465961,0.12188168539755481,1.543655715220612,1.0597403252827664,1.931997083213469,2.2855130616366877,0.08938195888812728,0.8564988158618327,0.557441652738131,1.0800192025991586,1.277007968609773
63,fgvc-aircraft-2013b,convnext_base,CLASSIC_AT,10.831418064344426,8.095572714044662,4.811099635166567,17.387318697010056,8.572613058715952,0.04560617662430462,2.9413103259485918,2.1016576186340856,2.5732691507383887,4.060688245481678,0.028217622498217965,1.6161674085950486,1.1751748917340374,1.238819429138843,2.273447512050202
64,dtd,convnext_base,CLASSIC_AT,5.111989170897473,4.318074277243432,3.471402828171215,6.673960584275266,3.571664555868018,1.8044060417761136,2.3109459521941815,2.0466764538765623,2.1727341406201104,1.7098039576031523,0.8864931309476811,1.2278947088658463,0.9956882557970412,1.1371470674555353,0.9684896964248028
65,flowers-102,convnext_base,CLASSIC_AT,6.40095102449034,4.776009114583333,3.5775783935316983,6.917794584621753,5.9109737768554105,1.7266586586475272,2.7540692930441986,2.4161250992208414,2.549914961163629,2.495464006521389,1.0646714154411765,1.497677349993336,1.1783430510876225,1.3506549910003063,1.398134009477414
66,stanford_cars,convnext_base.fb_in22k,TRADES_v2,7.781094115553899,5.524312027890978,4.3597096463383975,10.365857322278853,6.444669552891006,0.4554759958182064,2.6839187250900673,2.3286061426081646,2.64202016774046,2.972265297115159,0.29137288077932894,1.473867036886931,1.1903302302126024,1.3262478187435964,1.6606362599431805
67,caltech101,convnext_base.fb_in22k,TRADES_v2,6.875416892439602,3.22305462771954,1.7203911243944834,4.969441575270433,10.73171779760561,0.32373781006702157,1.9180802085365027,0.8572567640279147,1.9796914750395511,3.8394457623968274,0.26365063373859116,1.0807691323129753,0.5202342106745793,1.0619621276855469,2.139233781503855
68,fgvc-aircraft-2013b,convnext_base.fb_in22k,TRADES_v2,6.622926064194544,4.963639818986723,4.184092620975783,9.278942977966956,5.50343296396541,2.0980674072233736,3.040861102119988,2.404779726011075,2.5372558069186146,2.4130755091778093,1.1496788290511517,1.636630042642057,1.1715093752344687,1.2861265477870836,1.3659234601778134
69,dtd,convnext_base.fb_in22k,TRADES_v2,3.08613320282618,3.630415404044215,0.9165994847074467,4.3912326509196875,1.922107333743757,1.7325492861981695,1.8716679129809954,1.9359754025073732,2.0879334302747794,0.6506858149474806,0.9038800828000333,1.0136911809893172,0.9697840913813165,1.1310255984042554,0.35192829787807184
70,flowers-102,convnext_base.fb_in22k,TRADES_v2,3.0516530330570966,3.7081757762021086,0.8077823131218755,4.380905263762691,1.9360632769647326,1.5537468148345475,1.91461476237359,2.09499400607294,2.3174231259406977,0.5962779409567903,0.9622806175082338,1.0446082436881003,1.1417776070389092,1.2131324319278494,0.3091740003164191
71,oxford-iiit-pet,convnext_base.fb_in22k,TRADES_v2,3.3338100914135285,3.194530582234427,2.1157372097007596,4.210866292317708,2.247938700032901,1.2466296652497655,1.7749255617348167,1.6644211597050962,1.9364346051883568,1.076115137032594,0.7386414071787959,0.9677665203469719,0.8936717821204144,1.051315528759058,0.6024193913091304
72,stanford_cars,convnext_base.fb_in22k,CLASSIC_AT,6.828540557304661,7.407779174874283,5.313809915485663,8.894037867236877,3.066996239156141,0.027385062016791476,1.5981139419059434,2.366531691168615,2.6925030623536785,1.273352344272553,0.025392125864497794,0.8137359272787278,1.2321481173155737,1.3284008588947231,0.638233147613392
73,caltech101,convnext_base.fb_in22k,CLASSIC_AT,4.116112931104314,2.796974142355266,1.59903531905685,4.38941650390625,5.01160299265542,0.45643781097772407,1.5799021743600017,1.5239960396564913,1.9951895829079418,1.970190388879801,0.2626187874720647,0.8738521231456744,0.851939685528095,1.1024046090932993,1.0990570389406265
74,fgvc-aircraft-2013b,convnext_base.fb_in22k,CLASSIC_AT,7.523913420308147,7.499417931234994,4.659491601742378,10.220650500744117,4.8360679764663494,0.036086256909302804,2.1875982283250024,2.1059002066107886,2.547983293173315,2.411822983232172,0.019139100952881183,1.1806975399939068,1.1656945493040967,1.2009936787214885,1.3446842500680918
75,dtd,convnext_base.fb_in22k,CLASSIC_AT,4.140769935808853,4.291984136053856,3.0432239027483163,5.712067419676211,2.333211204919902,1.7120721987782987,1.8683728922492364,1.9602607842399156,2.1041831675006106,1.0197275567755217,0.9574141482089429,0.9913512596122642,0.971609367208278,1.0769605596014795,0.5625927163890104
76,flowers-102,convnext_base.fb_in22k,CLASSIC_AT,4.531892183908006,4.513338996554554,2.8448019540931906,5.189795283313924,3.8539234839284364,1.575208931003954,2.218942624956334,2.2287377301470785,2.501372636012564,1.6060980640618647,0.9845508051853554,1.1961607858801877,1.1488118489583334,1.2362936580882353,0.8863467834740965
77,stanford_cars,robust_convnext_base,TRADES_v2,6.654922621659622,6.504297900987554,5.162502548175208,8.79826851783716,4.346602184297542,0.7547599695754784,2.4734819034644704,2.392522572418821,2.864939603672947,1.9940637934739647,0.46305021692494863,1.338992827515708,1.3271619452804815,1.3459016393442622,1.1039912465176906
78,caltech101,robust_convnext_base,TRADES_v2,4.407231131705093,3.5485604336421597,1.4863828564092383,5.851475172776442,3.7798153534919168,1.9297652684271034,2.5200922943479704,2.1164428653472687,2.3413004625220104,1.6738302289882874,1.0217608525202824,1.386485103742611,1.1182400630070615,1.3010206956129808,0.9360777979566751
79,fgvc-aircraft-2013b,robust_convnext_base,TRADES_v2,7.6195550032747885,7.838828529546047,4.631876007174958,9.890504554532527,5.43286906185349,2.065938524404494,2.7941784527741556,2.1884985274462085,2.5464628679606816,2.5277376285314315,1.1553772632099715,1.5091725899344115,1.1782771702430972,1.2317008834783914,1.4216513448993067
80,dtd,robust_convnext_base,TRADES_v2,5.455276643828245,5.282757350441662,3.8368853924870496,7.017364326114562,3.998082904891218,1.7266102550652356,2.246660675446672,1.8967674974238988,2.149735202278824,1.7724241592594405,0.9735474282122673,1.2073375232218864,0.9872064468708445,1.0603252654379987,0.9959996884325732
81,flowers-102,robust_convnext_base,TRADES_v2,6.777069403493232,6.502280838265195,3.6724595013786767,8.782768066589275,5.517631995532859,2.0659827267277464,2.7006937916548397,2.26191223744194,2.609330209877837,2.3080632816537494,1.167614387063419,1.492330734295671,1.1822160309436278,1.4586599312576594,1.3226277373303896
82,oxford-iiit-pet,robust_convnext_base,TRADES_v2,5.863754899710811,3.554919651023096,2.3516702520175086,5.156536678287049,7.14110189421614,1.6378955240350384,2.55823357903173,1.7507004594217954,1.9912547200092559,2.773846598303135,0.896974535955899,1.3938817443479088,0.9202086960060009,0.9882777117300725,1.5573612706388762
83,stanford_cars,robust_convnext_base,CLASSIC_AT,7.630342415526459,6.894890269829968,5.3138960040983605,11.222395699923156,5.624517037917967,1.3388351583405287,2.8708798430916085,2.4066014526517696,2.8006480457839813,2.6869203688309473,0.856322316654393,1.5874152011558658,1.3387585249103482,1.4436537445568647,1.497945775881988
