backbone,ft_type,freeze_epochs,dataset,pruning_strategy,pruning_ratio,batch_strategy,aug,iterations,delta,batch_size,sample_size,loss_function,init_lr,sched,momentum,weight_decay,seed,log_dir,statedict_dir,data_dir,task,num_workers,epsilon,step_size,perturb_steps,beta,distance,unsup_fraction,exp,timestamp,clean_acc,robust_acc,id,nat_zero_mean,nat_dormant_mean,nat_overactive_mean,adv_zero_mean,adv_dormant_mean,adv_overactive_mean
wideresnet_28_10,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0005,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/02/27,0.0,0.0,513426a2a44e693e6153b21c79ff3a16,0.0023043734065503,0.0348842910374583,0.0158609531280643,0.0023043734065503,0.0348842910374583,0.0158609531280643
robust_wideresnet_28_10,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0005,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/03/07,0.05,0.0,db9c1846edb80b319b0790d73dc69023,0.0033585016669935,0.032604432241616,0.0195626593449696,0.0033339870562855,0.0335359874485193,0.0200284369484212
robust_convnext_tiny,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/03/28,0.125,0.1,2abb712c126d9ec048da2c11067a1d98,0.003458277554663,0.0701695671575189,0.0462962962962962,0.003458277554663,0.0701695671575189,0.0463241856314145
deit_small_patch16_224.fb_in1k,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0005,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/05/32,0.0125,0.0,a46bac8d3085b10e038ae998ba98abec,0.1228503072650655,0.2039060176464756,0.0519968863480313,0.121711939460031,0.2029667203967458,0.0519290505931727
convnext_tiny.fb_in22k,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/05/55,0.915625,0.775,7efc3e8adba9449457fe7e99b70730a6,0.0037929495760821,0.0346106648817492,0.0310966086568496,0.0038487282463186,0.0347780008924587,0.0310966086568496
robust_deit_small_patch16_224,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0005,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/12/20,0.00625,0.0,3c5e177631c21d363f628d8e18d8840d,0.178780351681115,0.2853185006492894,0.0596331361598537,0.1782476711866024,0.28493253754068,0.05962548666111
vit_base_patch16_224.augreg_in21k,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0005,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/13/08,0.0,0.0,2ca924ca72adfb31db4c2e29cdde5d4e,0.4581051779596615,0.5597982643240206,0.0747575032565649,0.4581051779596615,0.5597982643240206,0.0747575032565649
convnext_base,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0005,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/15/20,0.0,0.0,241d9a6cf6f14d127bc824a31431e794,0.0051001310125397,0.069179300018716,0.0393739472206625,0.0051001310125397,0.069179300018716,0.0393739472206625
robust_vit_base_patch16_224,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0005,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/21/18,0.25625,0.14375,5f3cf2b9669f2153023daef7fe233ab1,0.1822517455959112,0.2821250201489054,0.0639850906055124,0.1806532045663753,0.2763958158082223,0.0630894205058516
convnext_base.fb_in22k,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0005,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/21/27,0.15,0.0,d639b07937939af1425edfd996fe4181,0.0042813026389668,0.0645002807411566,0.0387890698109676,0.0034624742653939,0.0602423731985775,0.0386136065880591
