,clean_acc,robust_acc,backbone,dataset,loss_function,zero_adv_train0,dormant_adv_train0,overactive_adv_train0,zero_adv_train5,dormant_adv_train5,overactive_adv_train5,zero_adv_val0,dormant_adv_val0,overactive_adv_val0,zero_adv_val5,dormant_adv_val5,overactive_adv_val5
0,0.3606666666666667,0.004,convnext_tiny,stanford_cars,TRADES_v2,0.011591962905718702,0.0025391918745860014,0.029587105321262974,0.012585559726208876,0.008279973504084787,0.03665268271141532,0.01399315522190329,0.005657981894457938,0.03438948995363215,0.013441156988297637,0.002566791786266284,0.02862110841245308
2,0.14466666666666667,0.0006666666666666666,convnext_tiny,fgvc-aircraft-2013b,TRADES_v2,0.05143941084579335,0.0030127203749163133,0.029680874804731087,0.04641821022093283,0.005021200624860522,0.036041062262887745,0.038523767016291004,0.0032916759651863423,0.03375362642267351,0.03830060254407498,0.003096407051997322,0.029736665922785094
3,0.14466666666666667,0.0006666666666666666,convnext_tiny,fgvc-aircraft-2013b,TRADES_v2,0.05143941084579335,0.0030127203749163133,0.029680874804731087,0.04641821022093283,0.005021200624860522,0.036041062262887745,0.038523767016291004,0.0032916759651863423,0.03375362642267351,0.03830060254407498,0.003096407051997322,0.029736665922785094
4,0.8506666666666667,0.16233333333333333,convnext_tiny,flowers-102,TRADES_v2,0.04216867469879518,0.0035698348951361,0.02922802320392682,0.03781793842034806,0.015283355644801428,0.04317269076305221,0.011713520749665328,0.003179384203480589,0.028781793842034806,0.016984605087014725,0.003318830879071843,0.028642347166443552
5,0.8506666666666667,0.16233333333333333,convnext_tiny,flowers-102,TRADES_v2,0.04216867469879518,0.0035698348951361,0.02922802320392682,0.03781793842034806,0.015283355644801428,0.04317269076305221,0.011713520749665328,0.003179384203480589,0.028781793842034806,0.016984605087014725,0.003318830879071843,0.028642347166443552
6,0.852,0.3305,convnext_tiny,oxford-iiit-pet,TRADES_v2,0.04449938195302843,0.003034048769524666,0.027194066749072928,0.041015844476907516,0.014496010787728959,0.04236431059669626,0.03845937745814136,0.030059557253624004,0.047701988987526686,0.011827171592313742,0.0028093044162265423,0.02646364760085403
7,0.852,0.3305,convnext_tiny,oxford-iiit-pet,TRADES_v2,0.04449938195302843,0.003034048769524666,0.027194066749072928,0.041015844476907516,0.014496010787728959,0.04236431059669626,0.03845937745814136,0.030059557253624004,0.047701988987526686,0.011827171592313742,0.0028093044162265423,0.02646364760085403
8,0.07466666666666667,0.004666666666666667,convnext_tiny,stanford_cars,CLASSIC_AT,0.011591962905718702,0.002428792227864871,0.029697504967984102,0.016339147714727314,0.037977478472068886,0.04371826010156767,0.016891145948332964,0.030001103996467212,0.04636785162287481,0.01346875689997792,0.0026771914329874144,0.02828990947228969
9,0.06333333333333334,0.0,convnext_tiny,fgvc-aircraft-2013b,CLASSIC_AT,0.05210890426244142,0.0032358848471323366,0.030796697165811203,0.04887301941530908,0.025552332068734657,0.04552555233206874,0.038467975898237,0.0044074983262664584,0.0375474224503459,0.03827270698504798,0.0030406159339433163,0.029820352599866103
10,0.06333333333333334,0.0,convnext_tiny,fgvc-aircraft-2013b,CLASSIC_AT,0.05210890426244142,0.0032358848471323366,0.030796697165811203,0.04887301941530908,0.025552332068734657,0.04552555233206874,0.038467975898237,0.0044074983262664584,0.0375474224503459,0.03827270698504798,0.0030406159339433163,0.029820352599866103
