,clean_acc,robust_acc,backbone,dataset,loss_function
75,0.6773333333333333,0.3393333333333333,convnext_base.fb_in22k,dtd,TRADES_v2
76,,,convnext_base.fb_in22k,flowers-102,TRADES_v2
77,,,convnext_base.fb_in22k,oxford-iiit-pet,TRADES_v2
78,0.23133333333333334,0.012,convnext_base.fb_in22k,stanford_cars,CLASSIC_AT
79,,,convnext_base.fb_in22k,caltech101,CLASSIC_AT
80,0.214,0.004666666666666667,convnext_base.fb_in22k,fgvc-aircraft-2013b,CLASSIC_AT
81,0.714,0.25183333333333335,convnext_base.fb_in22k,dtd,CLASSIC_AT
82,,,convnext_base.fb_in22k,flowers-102,CLASSIC_AT
83,,,convnext_base.fb_in22k,oxford-iiit-pet,CLASSIC_AT
84,0.356,0.216,robust_convnext_base,stanford_cars,TRADES_v2
85,,,robust_convnext_base,caltech101,TRADES_v2
86,0.07533333333333334,0.04,robust_convnext_base,fgvc-aircraft-2013b,TRADES_v2
87,0.45866666666666667,0.3413333333333333,robust_convnext_base,dtd,TRADES_v2
88,0.428,0.33266666666666667,robust_convnext_base,flowers-102,TRADES_v2
89,,,robust_convnext_base,oxford-iiit-pet,TRADES_v2
90,0.38,0.31933333333333336,robust_convnext_base,stanford_cars,CLASSIC_AT
91,,,robust_convnext_base,caltech101,CLASSIC_AT
92,0.21,0.14666666666666667,robust_convnext_base,fgvc-aircraft-2013b,CLASSIC_AT
93,0.49533333333333335,0.41133333333333333,robust_convnext_base,dtd,CLASSIC_AT
94,,,robust_convnext_base,flowers-102,CLASSIC_AT
95,,,robust_convnext_base,oxford-iiit-pet,CLASSIC_AT
96,0.88,0.6446666666666667,convnext_base.clip_laion2b,stanford_cars,TRADES_v2
97,,,convnext_base.clip_laion2b,caltech101,TRADES_v2
98,0.4653333333333333,0.17933333333333334,convnext_base.clip_laion2b,fgvc-aircraft-2013b,TRADES_v2
99,0.6,0.24533333333333332,convnext_base.clip_laion2b,dtd,TRADES_v2
100,,,convnext_base.clip_laion2b,flowers-102,TRADES_v2
101,0.8686666666666667,0.3546666666666667,convnext_base.clip_laion2b,oxford-iiit-pet,TRADES_v2
102,0.9026666666666666,0.612,convnext_base.clip_laion2b,stanford_cars,CLASSIC_AT
