,dataset,backbone,loss_function,PairwiseDistance_Mean,PairwiseDistance_Median,PairwiseDistance_25%,PairwiseDistance_75%,PairwiseDistance_Std,std_dev_25%,std_dev_Mean,std_dev_Median,std_dev_75%,std_dev_Std,mean_abs_change_25%,mean_abs_change_Mean,mean_abs_change_Median,mean_abs_change_75%,mean_abs_change_Std
0,stanford_cars,convnext_tiny,TRADES_v2,7.628686636895176,4.87314074822255,1.0389771118926265,12.119082281692421,8.05214257446705,0.3207288065208934,2.4966012438804546,0.5879179950588593,2.466247666634192,3.416448731852482,0.17899663206006655,1.4212347373029626,0.35956428903048154,1.420045867328672,1.9212278647439724
1,caltech101,convnext_tiny,TRADES_v2,4.889141632228385,2.7756418614339533,1.5331656610708977,4.676873001287868,8.596548365447426,1.3990486431901406,2.4756387752189526,1.9278122515547866,2.3952538333683075,2.9934094625486547,0.8146717972807832,1.4702993844746086,1.1669220578539503,1.4442901860517756,1.694030053220411
2,fgvc-aircraft-2013b,convnext_tiny,TRADES_v2,8.362502056034288,5.072221850289831,0.8407789873762002,8.753898501933023,10.174636638881775,0.2972523034338715,2.9565998444865045,2.3951011738484542,2.402936710321811,3.7430905205782454,0.17059743819402773,2.811154737910546,2.5238452279628363,2.609201758270272,3.641206364771856
3,dtd,convnext_tiny,TRADES_v2,1.0480623434003422,0.42667759574053105,0.07498181931515902,1.4531393792662928,1.3915118765884458,0.41069762312941416,0.5769096756136107,0.477522462028241,0.48382519021309545,0.41101065565991496,0.24748562751932324,0.49218818043100004,0.38037918683668703,0.39256920616015767,0.5208164667726103
4,flowers-102,convnext_tiny,TRADES_v2,1.838306515339289,1.0121363826101368,0.2399917889672405,2.0040530086625075,2.994603596122104,0.5448085325374242,0.8703830058698945,0.7102051628631445,0.7223886860330386,0.9351415662960161,0.38860002269506855,0.8202517062929578,0.6317488813092702,0.646266631768829,1.0786942865650562
5,oxford-iiit-pet,convnext_tiny,TRADES_v2,3.512174482630498,2.332407633463542,0.5269847575973127,3.727937651625359,4.261379975071242,1.1123185987119433,1.9726559852326717,1.7858945317199029,1.7988200098791323,1.5273991912584444,0.6500395030461977,1.7187235474607117,1.5448536898937042,1.5701125143389034,1.765750015097801
6,stanford_cars,convnext_tiny,CLASSIC_AT,11.184912619120587,7.11216011191677,0.2628066285687342,17.57770075563525,13.684773069932685,0.098712509028268,3.301623094602882,0.19925831035335015,3.3002439792515688,5.49721002638512,0.06620920316769152,1.852177662439438,0.11709021062798852,1.850929078739097,3.0727601923504606
7,caltech101,convnext_tiny,CLASSIC_AT,6.734459852966639,3.8081170677157763,2.0554462998266736,6.945677512032814,9.20115190166555,1.2079505049405164,2.901168305948667,1.8224151275713036,2.788515965485555,3.4561150918085537,0.7782510728102465,1.766457724007612,1.1852387178861177,1.759783984500964,1.9745492116122534
8,fgvc-aircraft-2013b,convnext_tiny,CLASSIC_AT,4.3741677295066,2.4858645732008693,0.02895601600015052,4.676330574735366,7.1572187418210325,0.38043014782540374,2.1414655860588128,2.095849098313672,2.0971366262385303,2.596831790607901,0.31480960129587576,2.31532909555955,2.2729894305657536,2.277963978978869,2.915421244623034
9,dtd,convnext_tiny,CLASSIC_AT,1.5464705777692387,0.10771238769773454,0.04826108871346952,2.11481529989913,3.290191798201992,0.8114521033985054,0.9029575690872236,0.8136622837612095,0.8151680636557428,0.939540553167199,0.8985461636182721,0.9693359160086132,0.9183803930820964,0.9292064714564314,1.024279879946071
