backbone_name,model_size,model_type,loss_function,pre_training_strategy,dataset,clean_acc,Linf_acc,L2_acc,L1_acc,common_acc
"deit_t,sup,in1k",small,fully attention,TRADES,supervised,uc-merced-land-use-dataset,0.919047619047619,0.5619047619047619,0.7095238095238096,0.4785714285714286,0.6928571428571428
"mobilevit_s,sup,in1k",small,hybrid,TRADES,supervised,uc-merced-land-use-dataset,0.6452380952380953,0.24523809523809523,0.26666666666666666,0.12142857142857143,0.3880952380952381
"mobilenet_v3,sup,in1k",small,fully convolutional,TRADES,supervised,uc-merced-land-use-dataset,0.9619047619047619,0.0,0.023809523809523808,0.21904761904761905,0.5166666666666667
"edgenetx_s,sup,in1k",small,hybrid,TRADES,supervised,uc-merced-land-use-dataset,0.9380952380952381,0.3619047619047619,0.7023809523809523,0.7333333333333333,0.7404761904761905
"coat_t,sup,in1k",small,hybrid,TRADES,supervised,uc-merced-land-use-dataset,0.9714285714285714,0.5238095238095238,0.7047619047619048,0.6253968253968254,0.7476190476190476
"convnext_b,clip,laiona",large,fully convolutional,TRADES,self-supervised (multimodal),stanford_cars,0.87,0.686,0.556,0.096,0.76
"convnext_b,clip,laion2b",large,fully convolutional,TRADES,self-supervised (multimodal),stanford_cars,0.889,0.687,0.567,0.096,0.772
"deit_s,sup,in1k",medium,fully attention,TRADES,supervised,stanford_cars,0.591,0.187,0.195,0.038,0.444
"resnet50,rob-sup,in1k",medium,fully convolutional,TRADES,supervised (robust),stanford_cars,0.364,0.063,0.01,0.0,0.244
"vit_s,sup,in22k",medium,fully attention,TRADES,supervised,stanford_cars,0.5093333333333333,0.132,0.128,0.009333333333333334,0.408
"convnext_b,sup,in1k",large,fully convolutional,TRADES,supervised,stanford_cars,0.745,0.411,0.43,0.126,0.606
"resnet50,sup,in1k",medium,fully convolutional,TRADES,supervised,stanford_cars,0.612,0.0,0.0,0.017,0.416
"vit_b,rob-sup,in1k",large,fully attention,TRADES,supervised (robust),stanford_cars,0.423,0.129,0.136,0.037,0.354
"vit_b,mae,in1k",large,fully attention,TRADES,self-supervised,stanford_cars,0.641,0.279,0.264,0.042,0.544
"vit_b,dino,in1k",medium,fully attention,TRADES,self-supervised,stanford_cars,0.11866666666666667,0.005333333333333333,0.013333333333333334,0.002,0.064
"convnext_b,sup,in22k",large,fully convolutional,TRADES,supervised,stanford_cars,0.742,0.449,0.444,0.17333333333333334,0.635
"convnext_b,rob-sup,in1k",large,fully convolutional,TRADES,supervised (robust),stanford_cars,0.659,0.371,0.354,0.115,0.5373333333333333
"vit_b,sup,in1k",large,fully attention,TRADES,supervised,stanford_cars,0.538,0.142,0.152,0.028,0.436
"vit_b,sup,in22k",large,fully attention,TRADES,supervised,stanford_cars,0.404,0.093,0.081,0.007,0.321
"vit_b,clip,laion2b",large,fully attention,TRADES,self-supervised (multimodal),stanford_cars,0.827,0.5,0.43066666666666664,0.075,0.712
"convnext_t,sup,in1k",medium,fully convolutional,TRADES,supervised,stanford_cars,0.692,0.31466666666666665,0.357,0.117,0.5546666666666666
"convnext_t,rob-sup,in1k",medium,fully convolutional,TRADES,supervised (robust),stanford_cars,0.334,0.052,0.015,0.004,0.20266666666666666
"deit_s,rob-sup,in1k",medium,fully attention,TRADES,supervised (robust),stanford_cars,0.676,0.323,0.179,0.012,0.565
"vit_s,sup,in1k",medium,fully attention,TRADES,supervised,stanford_cars,0.042,0.007,0.007,0.005333333333333333,0.039
