backbone_name,model_size,model_type,loss_function,pre_training_strategy,dataset,clean_acc,Linf_acc,L2_acc,L1_acc,common_acc
"regnetx_004,sup,in1k",small,fully convolutional,TRADES,supervised,flowers-102,0.737,0.0,0.0,0.024,0.55
"efficientnet_b0,sup,in1k",small,fully convolutional,TRADES,supervised,flowers-102,0.173,0.001,0.006666666666666667,0.004,0.141
"deit_t,sup,in1k",small,fully attention,TRADES,supervised,flowers-102,0.302,0.0,0.0,0.0,0.202
"mobilevit_s,sup,in1k",small,hybrid,TRADES,supervised,flowers-102,0.262,0.047,0.114,0.052,0.21
"mobilenet_v3,sup,in1k",small,fully convolutional,TRADES,supervised,flowers-102,0.767,0.0,0.0,0.044,0.588
"edgenetx_s,sup,in1k",small,hybrid,TRADES,supervised,flowers-102,0.768,0.104,0.288,0.191,0.6
"coat_t,sup,in1k",small,hybrid,TRADES,supervised,flowers-102,0.766,0.343,0.49,0.335,0.624
"convnext_b,clip,laiona",large,fully convolutional,TRADES,self-supervised (multimodal),oxford-iiit-pet,0.814,0.429,0.4266666666666667,0.104,0.6893333333333334
"convnext_b,clip,laion2b",large,fully convolutional,TRADES,self-supervised (multimodal),oxford-iiit-pet,0.825,0.445,0.407,0.102,0.6933333333333334
"deit_s,sup,in1k",medium,fully attention,TRADES,supervised,oxford-iiit-pet,0.037,0.005,0.003,0.0,0.03
"resnet50,rob-sup,in1k",medium,fully convolutional,TRADES,supervised (robust),oxford-iiit-pet,0.807,0.427,0.024,0.0,0.654
"vit_s,sup,in22k",medium,fully attention,TRADES,supervised,oxford-iiit-pet,0.776,0.0,0.0,0.0,0.64
"convnext_b,sup,in1k",large,fully convolutional,TRADES,supervised,oxford-iiit-pet,0.852,0.472,0.474,0.248,0.726
"resnet50,sup,in1k",medium,fully convolutional,TRADES,supervised,oxford-iiit-pet,0.897,0.0,0.0,0.022,0.708
"vit_b,rob-sup,in1k",large,fully attention,TRADES,supervised (robust),oxford-iiit-pet,0.602,0.063,0.112,0.008,0.469
"vit_b,mae,in1k",large,fully attention,TRADES,self-supervised,oxford-iiit-pet,0.77,0.293,0.276,0.024,0.595
"vit_b,dino,in1k",medium,fully attention,TRADES,self-supervised,oxford-iiit-pet,0.024,0.008,0.004,0.002,0.032
"convnext_b,sup,in22k",large,fully convolutional,TRADES,supervised,oxford-iiit-pet,0.82,0.439,0.494,0.236,0.69
"convnext_b,rob-sup,in1k",large,fully convolutional,TRADES,supervised (robust),oxford-iiit-pet,0.878,0.648,0.5,0.13,0.7493333333333333
"vit_b,sup,in1k",large,fully attention,TRADES,supervised,oxford-iiit-pet,0.712,0.19,0.258,0.07,0.562
"vit_b,sup,in22k",large,fully attention,TRADES,supervised,oxford-iiit-pet,0.181,0.009,0.014,0.003,0.14
"vit_b,clip,laion2b",large,fully attention,TRADES,self-supervised (multimodal),oxford-iiit-pet,0.786,0.304,0.33866666666666667,0.077,0.656
"convnext_t,sup,in1k",medium,fully convolutional,TRADES,supervised,oxford-iiit-pet,0.8226666666666667,0.37333333333333335,0.43866666666666665,0.165,0.658
"convnext_t,rob-sup,in1k",medium,fully convolutional,TRADES,supervised (robust),oxford-iiit-pet,0.86,0.592,0.224,0.007,0.7626666666666667
"deit_s,rob-sup,in1k",medium,fully attention,TRADES,supervised (robust),oxford-iiit-pet,0.839,0.51,0.328,0.033,0.727
"vit_s,sup,in1k",medium,fully attention,TRADES,supervised,oxford-iiit-pet,0.703,0.151,0.193,0.028,0.56
"convnext_t,sup,in22k",medium,fully convolutional,TRADES,supervised,oxford-iiit-pet,0.768,0.332,0.389,0.172,0.6333333333333333
"vit_b,clip,laion2b",large,fully attention,TRADES,fusion,oxford-iiit-pet,0.705,0.255,0.2613333333333333,0.037,0.539
"vit_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),oxford-iiit-pet,0.62,0.144,0.20133333333333334,0.06133333333333333,0.496
"vit_s,sup,ink22k-in1k",medium,fully attention,TRADES,supervised (multistep),oxford-iiit-pet,0.449,0.0,0.0,0.0,0.325
"eva02_b,mim,ink22k",large,fully attention,TRADES,self-supervised,oxford-iiit-pet,0.768,0.36666666666666664,0.451,0.224,0.631
"eva02_b,mim,ink22k",medium,fully attention,TRADES,self-supervised,oxford-iiit-pet,0.819,0.003,0.007,0.01,0.63
"swin_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),oxford-iiit-pet,0.787,0.336,0.43,0.216,0.656
"swin_t,sup,in1k",medium,fully attention,TRADES,supervised,oxford-iiit-pet,0.753,0.258,0.352,0.13,0.598
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,TRADES,fusion,oxford-iiit-pet,0.192,0.015,0.043,0.059,0.169
"convnext_b,sup,in22k-in1k",large,fully convolutional,TRADES,supervised (multistep),oxford-iiit-pet,0.819,0.424,0.492,0.25333333333333335,0.7013333333333334
"convnext_t,sup,in22k-in1k",medium,fully convolutional,TRADES,supervised (multistep),oxford-iiit-pet,0.651,0.248,0.28,0.20266666666666666,0.52
"coatnet_0,sup,in1k",medium,hybrid,TRADES,supervised,oxford-iiit-pet,0.777,0.013,0.071,0.158,0.571
"coatnet_2,sup,in12k-in1k",large,hybrid,TRADES,supervised (multistep),oxford-iiit-pet,0.822,0.409,0.42,0.158,0.7026666666666667
"coatnet_2,sup,in12k",large,hybrid,TRADES,supervised,oxford-iiit-pet,0.806,0.365,0.398,0.159,0.663
"regnetx_004,sup,in1k",small,fully convolutional,TRADES,supervised,oxford-iiit-pet,0.759,0.0,0.0,0.003,0.513
"efficientnet_b0,sup,in1k",small,fully convolutional,TRADES,supervised,oxford-iiit-pet,0.173,0.018,0.017,0.008,0.133
"deit_t,sup,in1k",small,fully attention,TRADES,supervised,oxford-iiit-pet,0.681,0.158,0.162,0.018,0.531
"mobilevit_s,sup,in1k",small,hybrid,TRADES,supervised,oxford-iiit-pet,0.2,0.014,0.032,0.009,0.16
"mobilenet_v3,sup,in1k",small,fully convolutional,TRADES,supervised,oxford-iiit-pet,0.816,0.0,0.0,0.028,0.527
"edgenetx_s,sup,in1k",small,hybrid,TRADES,supervised,oxford-iiit-pet,0.784,0.264,0.3626666666666667,0.16,0.638
"coat_t,sup,in1k",small,hybrid,TRADES,supervised,oxford-iiit-pet,0.822,0.349,0.381,0.1,0.659
"convnext_b,clip,laiona",large,fully convolutional,Classic AT,self-supervised (multimodal),uc-merced-land-use-dataset,0.9380952380952381,0.7595238095238095,0.8666666666666667,0.7333333333333333,0.8
"convnext_b,clip,laion2b",large,fully convolutional,Classic AT,self-supervised (multimodal),uc-merced-land-use-dataset,0.9452380952380952,0.7571428571428571,0.8571428571428571,0.6904761904761905,0.7952380952380952
"deit_s,sup,in1k",medium,fully attention,Classic AT,supervised,uc-merced-land-use-dataset,0.9452380952380952,0.6023809523809524,0.7936507936507936,0.7,0.8
"resnet50,rob-sup,in1k",medium,fully convolutional,Classic AT,supervised (robust),uc-merced-land-use-dataset,0.5238095238095238,0.3,0.2857142857142857,0.18095238095238095,0.3904761904761905
"vit_s,sup,in22k",medium,fully attention,Classic AT,supervised,uc-merced-land-use-dataset,0.44285714285714284,0.2619047619047619,0.3238095238095238,0.29523809523809524,0.30714285714285716
"convnext_b,sup,in1k",large,fully convolutional,Classic AT,supervised,uc-merced-land-use-dataset,0.48095238095238096,0.0,0.0,0.0,0.37857142857142856
"resnet50,sup,in1k",medium,fully convolutional,Classic AT,supervised,uc-merced-land-use-dataset,0.6404761904761904,0.0,0.0,0.0,0.41904761904761906
"vit_b,rob-sup,in1k",large,fully attention,Classic AT,supervised (robust),uc-merced-land-use-dataset,0.1746031746031746,0.02857142857142857,0.02142857142857143,0.009523809523809525,0.12142857142857143
"vit_b,mae,in1k",large,fully attention,Classic AT,self-supervised,uc-merced-land-use-dataset,0.9333333333333333,0.6333333333333333,0.7047619047619048,0.36666666666666664,0.7380952380952381
"vit_b,dino,in1k",medium,fully attention,Classic AT,self-supervised,uc-merced-land-use-dataset,0.40476190476190477,0.2833333333333333,0.3119047619047619,0.22857142857142856,0.3476190476190476
"convnext_b,sup,in22k",large,fully convolutional,Classic AT,supervised,uc-merced-land-use-dataset,0.21904761904761905,0.08571428571428572,0.1365079365079365,0.1595238095238095,0.1880952380952381
"convnext_b,rob-sup,in1k",large,fully convolutional,Classic AT,supervised (robust),uc-merced-land-use-dataset,0.16428571428571428,0.12142857142857143,0.1619047619047619,0.10476190476190476,0.12698412698412698
"vit_b,sup,in1k",large,fully attention,Classic AT,supervised,uc-merced-land-use-dataset,0.9357142857142857,0.6928571428571428,0.8095238095238095,0.6857142857142857,0.7857142857142857
"vit_b,sup,in22k",large,fully attention,Classic AT,supervised,uc-merced-land-use-dataset,0.8571428571428571,0.530952380952381,0.6698412698412698,0.38095238095238093,0.6761904761904762
"vit_b,clip,laion2b",large,fully attention,Classic AT,self-supervised (multimodal),uc-merced-land-use-dataset,0.9428571428571428,0.5555555555555556,0.680952380952381,0.6523809523809524,0.707936507936508
"convnext_t,sup,in1k",medium,fully convolutional,Classic AT,supervised,uc-merced-land-use-dataset,0.95,0.75,0.873015873015873,0.7841269841269841,0.8095238095238095
"convnext_t,rob-sup,in1k",medium,fully convolutional,Classic AT,supervised (robust),uc-merced-land-use-dataset,0.9571428571428572,0.8380952380952381,0.8119047619047619,0.3619047619047619,0.8166666666666667
"deit_s,rob-sup,in1k",medium,fully attention,Classic AT,supervised (robust),uc-merced-land-use-dataset,0.9547619047619048,0.8238095238095238,0.8666666666666667,0.5619047619047619,0.8507936507936508
"vit_s,sup,in1k",medium,fully attention,Classic AT,supervised,uc-merced-land-use-dataset,0.1746031746031746,0.12063492063492064,0.08095238095238096,0.07857142857142857,0.12380952380952381
"convnext_t,sup,in22k",medium,fully convolutional,Classic AT,supervised,uc-merced-land-use-dataset,0.95,0.7642857142857142,0.8809523809523809,0.7880952380952381,0.8
"vit_b,clip,laion2b",large,fully attention,Classic AT,fusion,uc-merced-land-use-dataset,0.48253968253968255,0.09841269841269841,0.1523809523809524,0.23095238095238096,0.4031746031746032
"vit_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),uc-merced-land-use-dataset,0.20952380952380953,0.14047619047619048,0.09761904761904762,0.06190476190476191,0.1619047619047619
"vit_s,sup,ink22k-in1k",medium,fully attention,Classic AT,supervised (multistep),uc-merced-land-use-dataset,0.33095238095238094,0.2619047619047619,0.18333333333333332,0.08333333333333333,0.2833333333333333
"eva02_b,mim,ink22k",large,fully attention,Classic AT,self-supervised,uc-merced-land-use-dataset,0.95,0.7595238095238095,0.8698412698412699,0.7428571428571429,0.7968253968253968
"eva02_b,mim,ink22k",medium,fully attention,Classic AT,self-supervised,uc-merced-land-use-dataset,0.48253968253968255,0.28888888888888886,0.3547619047619048,0.32857142857142857,0.35873015873015873
"swin_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),uc-merced-land-use-dataset,0.9428571428571428,0.7380952380952381,0.8793650793650793,0.8333333333333334,0.8023809523809524
"swin_t,sup,in1k",medium,fully attention,Classic AT,supervised,uc-merced-land-use-dataset,0.9357142857142857,0.5857142857142857,0.7880952380952381,0.7547619047619047,0.75
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,Classic AT,fusion,uc-merced-land-use-dataset,0.6428571428571429,0.4142857142857143,0.49523809523809526,0.41904761904761906,0.5595238095238095
"convnext_b,sup,in22k-in1k",large,fully convolutional,Classic AT,supervised (multistep),uc-merced-land-use-dataset,0.9761904761904762,0.7880952380952381,0.8920634920634921,0.8,0.8666666666666667
"convnext_t,sup,in22k-in1k",medium,fully convolutional,Classic AT,supervised (multistep),uc-merced-land-use-dataset,0.9523809523809523,0.7285714285714285,0.8357142857142857,0.7396825396825397,0.7904761904761904
"coatnet_0,sup,in1k",medium,hybrid,Classic AT,supervised,uc-merced-land-use-dataset,0.5976190476190476,0.0,0.0,0.0,0.2904761904761905
"coatnet_2,sup,in12k-in1k",large,hybrid,Classic AT,supervised (multistep),uc-merced-land-use-dataset,0.9285714285714286,0.7071428571428572,0.8142857142857143,0.65,0.7833333333333333
"coatnet_2,sup,in12k",large,hybrid,Classic AT,supervised,uc-merced-land-use-dataset,0.8666666666666667,0.6095238095238096,0.6761904761904762,0.6095238095238096,0.6952380952380952
"regnetx_004,sup,in1k",small,fully convolutional,Classic AT,supervised,uc-merced-land-use-dataset,0.9492063492063492,0.7365079365079366,0.8,0.6928571428571428,0.7595238095238095
"efficientnet_b0,sup,in1k",small,fully convolutional,Classic AT,supervised,uc-merced-land-use-dataset,0.4023809523809524,0.18571428571428572,0.1619047619047619,0.07857142857142857,0.29285714285714287
"deit_t,sup,in1k",small,fully attention,Classic AT,supervised,uc-merced-land-use-dataset,0.8785714285714286,0.5476190476190477,0.6595238095238095,0.49523809523809526,0.6285714285714286
"mobilevit_s,sup,in1k",small,hybrid,Classic AT,supervised,uc-merced-land-use-dataset,0.38095238095238093,0.2619047619047619,0.28095238095238095,0.19285714285714287,0.2976190476190476
"mobilenet_v3,sup,in1k",small,fully convolutional,Classic AT,supervised,uc-merced-land-use-dataset,0.8595238095238096,0.030952380952380953,0.17857142857142858,0.43333333333333335,0.4634920634920635
"edgenetx_s,sup,in1k",small,hybrid,Classic AT,supervised,uc-merced-land-use-dataset,0.9357142857142857,0.6309523809523809,0.8023809523809524,0.7976190476190477,0.7523809523809524
"coat_t,sup,in1k",small,hybrid,Classic AT,supervised,uc-merced-land-use-dataset,0.3595238095238095,0.15476190476190477,0.17142857142857143,0.14285714285714285,0.2761904761904762
"convnext_b,clip,laiona",large,fully convolutional,Classic AT,self-supervised (multimodal),stanford_cars,0.6306666666666667,0.364,0.324,0.066,0.5066666666666667
"convnext_b,clip,laion2b",large,fully convolutional,Classic AT,self-supervised (multimodal),stanford_cars,0.659,0.405,0.354,0.117,0.544
"deit_s,sup,in1k",medium,fully attention,Classic AT,supervised,stanford_cars,0.022,0.014,0.019,0.016,0.021
"resnet50,rob-sup,in1k",medium,fully convolutional,Classic AT,supervised (robust),stanford_cars,0.694,0.366,0.084,0.0,0.537
"vit_s,sup,in22k",medium,fully attention,Classic AT,supervised,stanford_cars,0.04666666666666667,0.017333333333333333,0.015,0.004,0.052
"convnext_b,sup,in1k",large,fully convolutional,Classic AT,supervised,stanford_cars,0.636,0.29333333333333333,0.332,0.20133333333333334,0.4666666666666667
"resnet50,sup,in1k",medium,fully convolutional,Classic AT,supervised,stanford_cars,0.539,0.039,0.085,0.032,0.381
"vit_b,rob-sup,in1k",large,fully attention,Classic AT,supervised (robust),stanford_cars,0.05,0.012,0.021333333333333333,0.009333333333333334,0.048
"vit_b,mae,in1k",large,fully attention,Classic AT,self-supervised,stanford_cars,0.173,0.041,0.039,0.01,0.14
"vit_b,dino,in1k",medium,fully attention,Classic AT,self-supervised,stanford_cars,0.01,0.01,0.006,0.0013333333333333333,0.012
"convnext_b,sup,in22k",large,fully convolutional,Classic AT,supervised,stanford_cars,0.7186666666666667,0.4186666666666667,0.42133333333333334,0.183,0.601
"convnext_b,rob-sup,in1k",large,fully convolutional,Classic AT,supervised (robust),stanford_cars,0.518,0.244,0.254,0.097,0.4066666666666667
"vit_b,sup,in1k",large,fully attention,Classic AT,supervised,stanford_cars,0.269,0.053,0.048,0.011,0.215
"vit_b,sup,in22k",large,fully attention,Classic AT,supervised,stanford_cars,0.13333333333333333,0.02666666666666667,0.016,0.006,0.108
"vit_b,clip,laion2b",large,fully attention,Classic AT,self-supervised (multimodal),stanford_cars,0.079,0.024,0.016,0.006,0.06
"convnext_t,sup,in1k",medium,fully convolutional,Classic AT,supervised,stanford_cars,0.006666666666666667,0.006666666666666667,0.008,0.006666666666666667,0.008
"convnext_t,rob-sup,in1k",medium,fully convolutional,Classic AT,supervised (robust),stanford_cars,0.02,0.013,0.012,0.012,0.016
"deit_s,rob-sup,in1k",medium,fully attention,Classic AT,supervised (robust),stanford_cars,0.42,0.12266666666666666,0.10133333333333333,0.019,0.32
"vit_s,sup,in1k",medium,fully attention,Classic AT,supervised,stanford_cars,0.06266666666666666,0.024,0.025333333333333333,0.014,0.055
"convnext_t,sup,in22k",medium,fully convolutional,Classic AT,supervised,stanford_cars,0.6013333333333334,0.2773333333333333,0.31066666666666665,0.14133333333333334,0.473
"vit_b,clip,laion2b",large,fully attention,Classic AT,fusion,stanford_cars,0.11866666666666667,0.02266666666666667,0.019,0.007,0.07066666666666667
"vit_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),stanford_cars,0.181,0.037,0.037333333333333336,0.006,0.136
"vit_s,sup,ink22k-in1k",medium,fully attention,Classic AT,supervised (multistep),stanford_cars,0.008,0.008,0.008,0.008,0.008
"eva02_b,mim,ink22k",large,fully attention,Classic AT,self-supervised,stanford_cars,0.222,0.077,0.09333333333333334,0.036,0.18
"eva02_b,mim,ink22k",medium,fully attention,Classic AT,self-supervised,stanford_cars,0.008,0.008,0.006,0.009333333333333334,0.008
"swin_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),stanford_cars,0.509,0.201,0.232,0.10133333333333333,0.393
"swin_t,sup,in1k",medium,fully attention,Classic AT,supervised,stanford_cars,0.043,0.019,0.028,0.02,0.032
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,Classic AT,fusion,stanford_cars,0.504,0.267,0.255,0.091,0.382
"convnext_b,sup,in22k-in1k",large,fully convolutional,Classic AT,supervised (multistep),stanford_cars,0.6093333333333333,0.316,0.321,0.15866666666666668,0.4826666666666667
"convnext_t,sup,in22k-in1k",medium,fully convolutional,Classic AT,supervised (multistep),stanford_cars,0.122,0.062,0.075,0.05733333333333333,0.098
"coatnet_0,sup,in1k",medium,hybrid,Classic AT,supervised,stanford_cars,0.076,0.031,0.03,0.012,0.063
"coatnet_2,sup,in12k-in1k",large,hybrid,Classic AT,supervised (multistep),stanford_cars,0.71,0.418,0.318,0.044,0.58
"coatnet_2,sup,in12k",large,hybrid,Classic AT,supervised,stanford_cars,0.698,0.426,0.32266666666666666,0.07333333333333333,0.5693333333333334
"regnetx_004,sup,in1k",small,fully convolutional,Classic AT,supervised,stanford_cars,0.415,0.064,0.067,0.003,0.308
"efficientnet_b0,sup,in1k",small,fully convolutional,Classic AT,supervised,stanford_cars,0.057,0.022,0.015,0.008,0.047
"deit_t,sup,in1k",small,fully attention,Classic AT,supervised,stanford_cars,0.08266666666666667,0.024,0.02666666666666667,0.015,0.061
"mobilevit_s,sup,in1k",small,hybrid,Classic AT,supervised,stanford_cars,0.083,0.039,0.023,0.017,0.069
"mobilenet_v3,sup,in1k",small,fully convolutional,Classic AT,supervised,stanford_cars,0.382,0.023,0.058,0.076,0.264
"edgenetx_s,sup,in1k",small,hybrid,Classic AT,supervised,stanford_cars,0.54,0.17733333333333334,0.212,0.099,0.405
"coat_t,sup,in1k",small,hybrid,Classic AT,supervised,stanford_cars,0.175,0.067,0.074,0.039,0.137
"convnext_b,clip,laiona",large,fully convolutional,Classic AT,self-supervised (multimodal),caltech101,0.8866666666666667,0.7226666666666667,0.792,0.77,0.797
"convnext_b,clip,laion2b",large,fully convolutional,Classic AT,self-supervised (multimodal),caltech101,0.91,0.77,0.828,0.784,0.824
"deit_s,sup,in1k",medium,fully attention,Classic AT,supervised,caltech101,0.261,0.187,0.229,0.21333333333333335,0.21733333333333332
"resnet50,rob-sup,in1k",medium,fully convolutional,Classic AT,supervised (robust),caltech101,0.957,0.829,0.6253333333333333,0.156,0.838
"vit_s,sup,in22k",medium,fully attention,Classic AT,supervised,caltech101,0.77,0.53,0.648,0.586,0.656
"convnext_b,sup,in1k",large,fully convolutional,Classic AT,supervised,caltech101,0.94,0.812,0.86,0.825,0.835
"resnet50,sup,in1k",medium,fully convolutional,Classic AT,supervised,caltech101,0.907,0.531,0.677,0.687,0.786
"vit_b,rob-sup,in1k",large,fully attention,Classic AT,supervised (robust),caltech101,0.9453333333333334,0.8346666666666667,0.872,0.76,0.888
"vit_b,mae,in1k",large,fully attention,Classic AT,self-supervised,caltech101,0.87,0.692,0.767,0.587,0.7813333333333333
"vit_b,dino,in1k",medium,fully attention,Classic AT,self-supervised,caltech101,0.74,0.541,0.604,0.512,0.604
"convnext_b,sup,in22k",large,fully convolutional,Classic AT,supervised,caltech101,0.954,0.826,0.887,0.844,0.858
"convnext_b,rob-sup,in1k",large,fully convolutional,Classic AT,supervised (robust),caltech101,0.9573333333333334,0.8786666666666667,0.872,0.736,0.9
"vit_b,sup,in1k",large,fully attention,Classic AT,supervised,caltech101,0.877,0.683,0.756,0.681,0.78
"vit_b,sup,in22k",large,fully attention,Classic AT,supervised,caltech101,0.844,0.6426666666666667,0.7093333333333334,0.6586666666666666,0.75
"vit_b,clip,laion2b",large,fully attention,Classic AT,self-supervised (multimodal),caltech101,0.782,0.6,0.652,0.609,0.669
"convnext_t,sup,in1k",medium,fully convolutional,Classic AT,supervised,caltech101,0.925,0.769,0.838,0.809,0.8266666666666667
"convnext_t,rob-sup,in1k",medium,fully convolutional,Classic AT,supervised (robust),caltech101,0.569,0.491,0.512,0.528,0.522
"deit_s,rob-sup,in1k",medium,fully attention,Classic AT,supervised (robust),caltech101,0.95,0.873,0.858,0.651,0.89
"vit_s,sup,in1k",medium,fully attention,Classic AT,supervised,caltech101,0.345,0.234,0.21733333333333332,0.184,0.287
"convnext_t,sup,in22k",medium,fully convolutional,Classic AT,supervised,caltech101,0.464,0.38,0.43,0.436,0.42933333333333334
"vit_b,clip,laion2b",large,fully attention,Classic AT,fusion,caltech101,0.701,0.498,0.558,0.46,0.584
"vit_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),caltech101,0.886,0.709,0.783,0.73,0.787
"vit_s,sup,ink22k-in1k",medium,fully attention,Classic AT,supervised (multistep),caltech101,0.843,0.614,0.706,0.6333333333333333,0.7186666666666667
"eva02_b,mim,ink22k",large,fully attention,Classic AT,self-supervised,caltech101,0.922,0.783,0.843,0.81,0.805
"eva02_b,mim,ink22k",medium,fully attention,Classic AT,self-supervised,caltech101,0.568,0.426,0.49,0.439,0.4706666666666667
"swin_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),caltech101,0.936,0.798,0.84,0.816,0.838
"swin_t,sup,in1k",medium,fully attention,Classic AT,supervised,caltech101,0.884,0.709,0.7893333333333333,0.746,0.7586666666666667
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,Classic AT,fusion,caltech101,0.913,0.783,0.816,0.794,0.807
"convnext_b,sup,in22k-in1k",large,fully convolutional,Classic AT,supervised (multistep),caltech101,0.95,0.827,0.888,0.842,0.843
"convnext_t,sup,in22k-in1k",medium,fully convolutional,Classic AT,supervised (multistep),caltech101,0.9053333333333333,0.7653333333333333,0.8293333333333334,0.8,0.812
"coatnet_0,sup,in1k",medium,hybrid,Classic AT,supervised,caltech101,0.856,0.675,0.75,0.7133333333333334,0.74
"coatnet_2,sup,in12k-in1k",large,hybrid,Classic AT,supervised (multistep),caltech101,0.951,0.819,0.852,0.782,0.851
"coatnet_2,sup,in12k",large,hybrid,Classic AT,supervised,caltech101,0.95,0.82,0.865,0.832,0.871
"regnetx_004,sup,in1k",small,fully convolutional,Classic AT,supervised,caltech101,0.884,0.578,0.66,0.568,0.749
"efficientnet_b0,sup,in1k",small,fully convolutional,Classic AT,supervised,caltech101,0.527,0.363,0.414,0.343,0.466
"deit_t,sup,in1k",small,fully attention,Classic AT,supervised,caltech101,0.854,0.622,0.721,0.646,0.735
"mobilevit_s,sup,in1k",small,hybrid,Classic AT,supervised,caltech101,0.608,0.485,0.515,0.427,0.527
"mobilenet_v3,sup,in1k",small,fully convolutional,Classic AT,supervised,caltech101,0.867,0.48,0.646,0.724,0.72
"edgenetx_s,sup,in1k",small,hybrid,Classic AT,supervised,caltech101,0.911,0.736,0.813,0.781,0.811
"coat_t,sup,in1k",small,hybrid,Classic AT,supervised,caltech101,0.891,0.726,0.789,0.749,0.796
"convnext_b,clip,laiona",large,fully convolutional,Classic AT,self-supervised (multimodal),fgvc-aircraft-2013b,0.188,0.072,0.082,0.038,0.171
"convnext_b,clip,laion2b",large,fully convolutional,Classic AT,self-supervised (multimodal),fgvc-aircraft-2013b,0.342,0.172,0.178,0.082,0.291
"deit_s,sup,in1k",medium,fully attention,Classic AT,supervised,fgvc-aircraft-2013b,0.357,0.104,0.03,0.0,0.301
"resnet50,rob-sup,in1k",medium,fully convolutional,Classic AT,supervised (robust),fgvc-aircraft-2013b,0.579,0.366,0.053,0.004,0.509
"vit_s,sup,in22k",medium,fully attention,Classic AT,supervised,fgvc-aircraft-2013b,0.06,0.028,0.024,0.009,0.048
"convnext_b,sup,in1k",large,fully convolutional,Classic AT,supervised,fgvc-aircraft-2013b,0.555,0.269,0.26,0.086,0.47733333333333333
"resnet50,sup,in1k",medium,fully convolutional,Classic AT,supervised,fgvc-aircraft-2013b,0.344,0.003,0.009,0.014,0.27
"vit_b,rob-sup,in1k",large,fully attention,Classic AT,supervised (robust),fgvc-aircraft-2013b,0.091,0.015,0.018,0.01,0.068
"vit_b,mae,in1k",large,fully attention,Classic AT,self-supervised,fgvc-aircraft-2013b,0.421,0.168,0.137,0.024,0.3586666666666667
"vit_b,dino,in1k",medium,fully attention,Classic AT,self-supervised,fgvc-aircraft-2013b,0.044,0.02,0.01,0.006,0.044
"convnext_b,sup,in22k",large,fully convolutional,Classic AT,supervised,fgvc-aircraft-2013b,0.66,0.356,0.35733333333333334,0.17,0.546
"convnext_b,rob-sup,in1k",large,fully convolutional,Classic AT,supervised (robust),fgvc-aircraft-2013b,0.563,0.335,0.202,0.04,0.482
"vit_b,sup,in1k",large,fully attention,Classic AT,supervised,fgvc-aircraft-2013b,0.352,0.09733333333333333,0.04933333333333333,0.011,0.276
"vit_b,sup,in22k",large,fully attention,Classic AT,supervised,fgvc-aircraft-2013b,0.114,0.03,0.023,0.013333333333333334,0.088
"vit_b,clip,laion2b",large,fully attention,Classic AT,self-supervised (multimodal),fgvc-aircraft-2013b,0.06,0.024,0.018,0.008,0.05466666666666667
"convnext_t,sup,in1k",medium,fully convolutional,Classic AT,supervised,fgvc-aircraft-2013b,0.42,0.15,0.189,0.112,0.356
"convnext_t,rob-sup,in1k",medium,fully convolutional,Classic AT,supervised (robust),fgvc-aircraft-2013b,0.367,0.2,0.184,0.057,0.3253333333333333
"deit_s,rob-sup,in1k",medium,fully attention,Classic AT,supervised (robust),fgvc-aircraft-2013b,0.06933333333333333,0.016,0.014,0.005333333333333333,0.051
"vit_s,sup,in1k",medium,fully attention,Classic AT,supervised,fgvc-aircraft-2013b,0.03333333333333333,0.018666666666666668,0.014,0.0026666666666666666,0.034
"convnext_t,sup,in22k",medium,fully convolutional,Classic AT,supervised,fgvc-aircraft-2013b,0.12,0.04666666666666667,0.064,0.055,0.089
"vit_b,clip,laion2b",large,fully attention,Classic AT,fusion,fgvc-aircraft-2013b,0.043,0.017,0.013333333333333334,0.008,0.039
"vit_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),fgvc-aircraft-2013b,0.15,0.047,0.028,0.01,0.135
"vit_s,sup,ink22k-in1k",medium,fully attention,Classic AT,supervised (multistep),fgvc-aircraft-2013b,0.098,0.026,0.027,0.012,0.093
"eva02_b,mim,ink22k",large,fully attention,Classic AT,self-supervised,fgvc-aircraft-2013b,0.172,0.068,0.06266666666666666,0.024,0.153
"eva02_b,mim,ink22k",medium,fully attention,Classic AT,self-supervised,fgvc-aircraft-2013b,0.049,0.021,0.027,0.018,0.04533333333333334
"swin_b,sup,ink22k-in1k",large,fully attention,Classic AT,supervised (multistep),fgvc-aircraft-2013b,0.481,0.217,0.21,0.054,0.412
