dataset,target,surrogate,perturbation,accuracy
fgvc-aircraft-2013b,Gemini Flash (no think),MetaCLIP H/14,linf@8,78.7
fgvc-aircraft-2013b,Gemini Flash (no think),SigLIP2 base,linf@30,77.0
fgvc-aircraft-2013b,Gemini Flash (no think),SigLIP2 base,linf@8,80.6
fgvc-aircraft-2013b,Gemini Flash (no think),n/a (clean),clean,80.8
fgvc-aircraft-2013b,Gemini Flash (no think),n/a (common),sev@3,53.9
flowers-102,GPT-4o,CLIP B/16,l1@300,73.7
flowers-102,GPT-4o,CLIP B/16,l1@75,74.3
flowers-102,GPT-4o,CLIP B/16,l2@2,74.0
flowers-102,GPT-4o,CLIP B/16,l2@8,68.2
flowers-102,GPT-4o,CLIP B/16,linf@30,54.4
flowers-102,GPT-4o,CLIP B/16,linf@8,72.7
flowers-102,GPT-4o,CLIP H/14,l1@300,72.4
flowers-102,GPT-4o,CLIP H/14,l1@75,74.4
flowers-102,GPT-4o,CLIP H/14,l2@2,72.0
flowers-102,GPT-4o,CLIP H/14,l2@8,60.8
flowers-102,GPT-4o,CLIP H/14,linf@30,33.3
flowers-102,GPT-4o,CLIP H/14,linf@8,66.9
flowers-102,GPT-4o,MetaCLIP H/14,l1@300,72.4
flowers-102,GPT-4o,MetaCLIP H/14,l1@75,73.6
flowers-102,GPT-4o,MetaCLIP H/14,l2@2,72.0
flowers-102,GPT-4o,MetaCLIP H/14,l2@8,63.7
flowers-102,GPT-4o,MetaCLIP H/14,linf@30,43.0
flowers-102,GPT-4o,MetaCLIP H/14,linf@8,68.8
flowers-102,GPT-4o,SigLIP2 NaFlex,linf@30,74.9
flowers-102,GPT-4o,SigLIP2 SO400M,linf@30,35.2
flowers-102,GPT-4o,SigLIP2 base,linf@30,48.8
flowers-102,GPT-4o,SigLIP2 base,linf@8,69.7
flowers-102,GPT-4o,n/a (clean),clean,73.7
flowers-102,GPT-4o,n/a (common),sev@3,62.6
flowers-102,Gemini Flash (no think),CLIP B/16,l1@300,95.7
flowers-102,Gemini Flash (no think),CLIP B/16,l1@75,95.6
flowers-102,Gemini Flash (no think),CLIP B/16,l2@2,95.7
flowers-102,Gemini Flash (no think),CLIP B/16,l2@8,94.3
flowers-102,Gemini Flash (no think),CLIP B/16,linf@30,84.8
flowers-102,Gemini Flash (no think),CLIP B/16,linf@8,95.3
flowers-102,Gemini Flash (no think),CLIP H/14,l1@300,95.5
flowers-102,Gemini Flash (no think),CLIP H/14,l1@75,95.6
flowers-102,Gemini Flash (no think),CLIP H/14,l2@2,95.4
flowers-102,Gemini Flash (no think),CLIP H/14,l2@8,92.5
flowers-102,Gemini Flash (no think),CLIP H/14,linf@30,72.1
flowers-102,Gemini Flash (no think),CLIP H/14,linf@8,94.8
flowers-102,Gemini Flash (no think),MetaCLIP H/14,l1@300,95.5
flowers-102,Gemini Flash (no think),MetaCLIP H/14,l1@75,95.6
flowers-102,Gemini Flash (no think),MetaCLIP H/14,l2@2,94.6
flowers-102,Gemini Flash (no think),MetaCLIP H/14,l2@8,93.9
flowers-102,Gemini Flash (no think),MetaCLIP H/14,linf@30,77.9
flowers-102,Gemini Flash (no think),MetaCLIP H/14,linf@8,94.9
flowers-102,Gemini Flash (no think),SigLIP2 NaFlex,linf@30,95.3
flowers-102,Gemini Flash (no think),SigLIP2 SO400M,linf@30,56.2
flowers-102,Gemini Flash (no think),SigLIP2 base,linf@30,80.2
flowers-102,Gemini Flash (no think),SigLIP2 base,linf@8,95.1
flowers-102,Gemini Flash (no think),n/a (clean),clean,95.7
flowers-102,Gemini Flash (no think),n/a (common),sev@3,88.1
oxford-iiit-pet,GPT-4o,CLIP B/16,l1@300,81.2
oxford-iiit-pet,GPT-4o,CLIP B/16,l1@75,84.0
oxford-iiit-pet,GPT-4o,CLIP B/16,l2@2,84.1
oxford-iiit-pet,GPT-4o,CLIP B/16,l2@8,71.1
oxford-iiit-pet,GPT-4o,CLIP B/16,linf@30,59.1
oxford-iiit-pet,GPT-4o,CLIP B/16,linf@8,81.1
oxford-iiit-pet,GPT-4o,CLIP H/14,l1@300,75.7
oxford-iiit-pet,GPT-4o,CLIP H/14,l1@75,83.4
oxford-iiit-pet,GPT-4o,CLIP H/14,l2@2,80.9
oxford-iiit-pet,GPT-4o,CLIP H/14,l2@8,58.5
oxford-iiit-pet,GPT-4o,CLIP H/14,linf@30,33.9
oxford-iiit-pet,GPT-4o,CLIP H/14,linf@8,75.2
oxford-iiit-pet,GPT-4o,MetaCLIP H/14,l1@300,78.5
oxford-iiit-pet,GPT-4o,MetaCLIP H/14,l1@75,83.0
oxford-iiit-pet,GPT-4o,MetaCLIP H/14,l2@2,81.0
oxford-iiit-pet,GPT-4o,MetaCLIP H/14,l2@8,68.9
oxford-iiit-pet,GPT-4o,MetaCLIP H/14,linf@30,42.8
oxford-iiit-pet,GPT-4o,MetaCLIP H/14,linf@8,73.6
oxford-iiit-pet,GPT-4o,SigLIP2 base,linf@30,83.6
oxford-iiit-pet,GPT-4o,SigLIP2 base,linf@8,86.0
oxford-iiit-pet,GPT-4o,n/a (clean),clean,87.4
oxford-iiit-pet,GPT-4o,n/a (common),sev@3,76.1
oxford-iiit-pet,Gemini Flash (no think),CLIP B/16,l1@300,94.3
oxford-iiit-pet,Gemini Flash (no think),CLIP B/16,l1@75,95.6
oxford-iiit-pet,Gemini Flash (no think),CLIP B/16,l2@2,95.8
oxford-iiit-pet,Gemini Flash (no think),CLIP B/16,l2@8,89.5
oxford-iiit-pet,Gemini Flash (no think),CLIP B/16,linf@30,76.6
oxford-iiit-pet,Gemini Flash (no think),CLIP B/16,linf@8,94.8
oxford-iiit-pet,Gemini Flash (no think),CLIP H/14,l1@300,93.4
oxford-iiit-pet,Gemini Flash (no think),CLIP H/14,l1@75,94.8
oxford-iiit-pet,Gemini Flash (no think),CLIP H/14,l2@2,94.7
oxford-iiit-pet,Gemini Flash (no think),CLIP H/14,l2@8,83.4
oxford-iiit-pet,Gemini Flash (no think),CLIP H/14,linf@30,54.0
oxford-iiit-pet,Gemini Flash (no think),CLIP H/14,linf@8,91.6
oxford-iiit-pet,Gemini Flash (no think),MetaCLIP H/14,l1@300,93.2
oxford-iiit-pet,Gemini Flash (no think),MetaCLIP H/14,l1@75,95.7
oxford-iiit-pet,Gemini Flash (no think),MetaCLIP H/14,l2@2,94.9
oxford-iiit-pet,Gemini Flash (no think),MetaCLIP H/14,l2@8,87.9
oxford-iiit-pet,Gemini Flash (no think),MetaCLIP H/14,linf@30,62.6
